Duration "Trip Route" Passholder Sample1 Sample2
9 "One Way" "Monthly Pass" "" ""
32 "One Way" "Monthly Pass" "" ""
13 "One Way" "Monthly Pass" "" ""
9 "One Way" Walk-up "" ""
7 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
3 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
20 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
20 "One Way" "Monthly Pass" "" ""
14 "Round Trip" Walk-up "" ""
8 "One Way" "Monthly Pass" "" ""
15 "One Way" "Monthly Pass" "" ""
17 "One Way" "Monthly Pass" "" ""
12 "One Way" "Monthly Pass" "" ""
11 "One Way" Walk-up "" ""
32 "One Way" Walk-up "" ""
2 "One Way" "Monthly Pass" "" ""
12 "One Way" "Monthly Pass" "" ""
14 "Round Trip" Walk-up "" ""
7 "One Way" "Monthly Pass" "" ""
29 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
8 "One Way" "Monthly Pass" "" ""
14 "One Way" "Monthly Pass" "" ""
3 "One Way" "Monthly Pass" "" ""
1 "Round Trip" Walk-up "" ""
40 "Round Trip" Walk-up "" ""
27 "Round Trip" Walk-up "" ""
5 "One Way" "Monthly Pass" "" ""
2 "One Way" Walk-up "" ""
3 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
11 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
2 "One Way" "Monthly Pass" "" ""
26 "Round Trip" Walk-up "" ""
25 "Round Trip" Walk-up "" ""
3 "One Way" "Monthly Pass" "" ""
11 "One Way" "Monthly Pass" "" ""
12 "One Way" "Monthly Pass" "" ""
12 "Round Trip" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
43 "Round Trip" Walk-up "" ""
28 "One Way" "Monthly Pass" "" ""
3 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
19 "One Way" Walk-up "" ""
5 "One Way" Walk-up "" ""
36 "Round Trip" Walk-up "" ""
5 "One Way" Walk-up "" ""
4 "One Way" Walk-up "" ""
14 "One Way" "Monthly Pass" "" ""
19 "One Way" Walk-up "" ""
12 "One Way" Walk-up "" ""
25 "One Way" Walk-up "" ""
21 "One Way" Walk-up "" ""
67 "Round Trip" Walk-up "" ""
10 "One Way" "Monthly Pass" "" ""
1367 "Round Trip" Walk-up "" ""
23 "Round Trip" "Monthly Pass" "" ""
9 "One Way" Walk-up "" ""
31 "One Way" "Monthly Pass" "" ""
15 "One Way" "Monthly Pass" "" ""
19 "Round Trip" Walk-up "" ""
17 "One Way" "Monthly Pass" "" ""
55 "One Way" Walk-up "" ""
13 "One Way" "Monthly Pass" "" ""
22 "Round Trip" "Monthly Pass" "" ""
10 "One Way" Walk-up "" ""
9 "One Way" "Monthly Pass" "" ""
11 "One Way" "Monthly Pass" "" ""
8 "One Way" Walk-up "" ""
8 "One Way" Walk-up "" ""
10 "One Way" "Monthly Pass" "" ""
3 "One Way" Walk-up "" ""
1 "One Way" "Monthly Pass" "" ""
8 "One Way" "Monthly Pass" "" ""
1 "Round Trip" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
20 "Round Trip" Walk-up "" ""
8 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
7 "One Way" Walk-up "" ""
4 "Round Trip" Walk-up "" ""
34 "Round Trip" Walk-up "" ""
30 "Round Trip" Walk-up "" ""
1 "Round Trip" Walk-up "" ""
75 "One Way" Walk-up "" ""
10 "One Way" Walk-up "" ""
8 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
83 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
8 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
6 "One Way" Walk-up "" ""
40 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
9 "One Way" "Monthly Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
18 "Round Trip" "Monthly Pass" "" ""
28 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
19 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
9 "One Way" "Monthly Pass" "" ""
3 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
15 "One Way" Walk-up "" ""
62 "Round Trip" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
6 "One Way" Walk-up "" ""
2 "One Way" "Monthly Pass" "" ""
5 "One Way" "Annual Pass" "" ""
5 "One Way" "Annual Pass" "" ""
71 "Round Trip" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
12 "One Way" "Monthly Pass" "" ""
15 "One Way" "Monthly Pass" "" ""
11 "One Way" "Monthly Pass" "" ""
13 "One Way" Walk-up "" ""
6 "One Way" "Monthly Pass" "" ""
8 "One Way" "Monthly Pass" "" ""
9 "One Way" Walk-up "" ""
17 "One Way" Walk-up "" ""
11 "One Way" "Monthly Pass" "" ""
9 "One Way" "Monthly Pass" "" ""
17 "One Way" "Monthly Pass" "" ""
7 "One Way" Walk-up "" ""
2 "One Way" "Monthly Pass" "" ""
3 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
6 "One Way" Walk-up "" ""
10 "One Way" "Monthly Pass" "" ""
1440 "One Way" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
8 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
12 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
15 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
9 "One Way" "Monthly Pass" "" ""
1 "Round Trip" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
8 "One Way" "Monthly Pass" "" ""
11 "One Way" "Monthly Pass" "" ""
88 "Round Trip" Walk-up "" ""
12 "One Way" "Monthly Pass" "" ""
87 "Round Trip" Walk-up "" ""
65 "Round Trip" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
64 "Round Trip" Walk-up "" ""
6 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
16 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
12 "One Way" "Monthly Pass" "" ""
1440 "One Way" Walk-up "" ""
5 "One Way" "Monthly Pass" "" ""
23 "One Way" Walk-up "" ""
22 "One Way" "Monthly Pass" "" ""
33 "Round Trip" Walk-up "" ""
15 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
3 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
9 "One Way" Walk-up "" ""
54 "Round Trip" Walk-up "" ""
10 "One Way" Walk-up "" ""
9 "One Way" "Monthly Pass" "" ""
53 "Round Trip" Walk-up "" ""
8 "One Way" "Monthly Pass" "" ""
17 "One Way" Walk-up "" ""
17 "One Way" "Monthly Pass" "" ""
10 "One Way" Walk-up "" ""
22 "One Way" Walk-up "" ""
3 "One Way" "Monthly Pass" "" ""
6 "One Way" Walk-up "" ""
9 "One Way" "Monthly Pass" "" ""
10 "One Way" Walk-up "" ""
3 "One Way" "Monthly Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
2 "Round Trip" "Monthly Pass" "" ""
18 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
9 "One Way" "Annual Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
13 "One Way" "Monthly Pass" "" ""
21 "One Way" "One Day Pass" "" ""
6 "One Way" "Annual Pass" "" ""
5 "One Way" "Annual Pass" "" ""
9 "One Way" "Monthly Pass" "" ""
26 "One Way" "Monthly Pass" "" ""
11 "One Way" "Monthly Pass" "" ""
8 "One Way" Walk-up "" ""
12 "One Way" "Monthly Pass" "" ""
15 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
3 "One Way" "Monthly Pass" "" ""
6 "One Way" Walk-up "" ""
1 "One Way" "Monthly Pass" "" ""
13 "One Way" "Monthly Pass" "" ""
8 "One Way" "Annual Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
20 "One Way" Walk-up "" ""
10 "One Way" "Monthly Pass" "" ""
13 "One Way" "Monthly Pass" "" ""
20 "One Way" "Monthly Pass" "" ""
9 "One Way" Walk-up "" ""
8 "One Way" Walk-up "" ""
16 "One Way" "Monthly Pass" "" ""
9 "One Way" "Monthly Pass" "" ""
20 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
12 "One Way" "Monthly Pass" "" ""
15 "One Way" "Monthly Pass" "" ""
8 "One Way" "Monthly Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
19 "One Way" "Monthly Pass" "" ""
10 "One Way" Walk-up "" ""
8 "One Way" "Monthly Pass" "" ""
17 "One Way" Walk-up "" ""
11 "One Way" "Monthly Pass" "" ""
5 "One Way" "Flex Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
8 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
12 "One Way" "Monthly Pass" "" ""
17 "Round Trip" "Monthly Pass" "" ""
9 "One Way" "Flex Pass" "" ""
18 "One Way" "Monthly Pass" "" ""
12 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
9 "One Way" "Monthly Pass" "" ""
16 "One Way" "Monthly Pass" "" ""
325 "One Way" Walk-up "" ""
6 "One Way" "Monthly Pass" "" ""
14 "One Way" "Monthly Pass" "" ""
16 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
7 "One Way" Walk-up "" ""
7 "One Way" "Monthly Pass" "" ""
20 "One Way" Walk-up "" ""
11 "One Way" "Monthly Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
9 "One Way" "Annual Pass" "" ""
4 "One Way" "Annual Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
13 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
8 "One Way" "Monthly Pass" "" ""
17 "Round Trip" "Monthly Pass" "" ""
17 "One Way" Walk-up "" ""
439 "One Way" Walk-up "" ""
12 "One Way" "Monthly Pass" "" ""
21 "Round Trip" "Monthly Pass" "" ""
21 "One Way" "One Day Pass" "" ""
16 "One Way" "Monthly Pass" "" ""
124 "One Way" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
9 "Round Trip" "Monthly Pass" "" ""
121 "One Way" Walk-up "" ""
9 "One Way" "Monthly Pass" "" ""
120 "One Way" Walk-up "" ""
8 "One Way" "Monthly Pass" "" ""
119 "One Way" Walk-up "" ""
26 "One Way" Walk-up "" ""
278 "One Way" Walk-up "" ""
7 "One Way" "Monthly Pass" "" ""
118 "One Way" Walk-up "" ""
10 "One Way" "Monthly Pass" "" ""
10 "One Way" Walk-up "" ""
14 "One Way" "Monthly Pass" "" ""
5 "One Way" Walk-up "" ""
20 "One Way" Walk-up "" ""
46 "Round Trip" Walk-up "" ""
8 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
34 "One Way" "One Day Pass" "" ""
4 "One Way" "Annual Pass" "" ""
5 "One Way" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
3 "One Way" "Monthly Pass" "" ""
9 "Round Trip" Walk-up "" ""
4 "One Way" "Flex Pass" "" ""
3 "One Way" "Monthly Pass" "" ""
47 "Round Trip" Walk-up "" ""
22 "Round Trip" Walk-up "" ""
40 "Round Trip" Walk-up "" ""
5 "One Way" "Monthly Pass" "" ""
8 "One Way" Walk-up "" ""
24 "One Way" "Monthly Pass" "" ""
274 "Round Trip" Walk-up "" ""
12 "One Way" "Flex Pass" "" ""
5 "One Way" "Flex Pass" "" ""
44 "Round Trip" Walk-up "" ""
42 "Round Trip" Walk-up "" ""
41 "Round Trip" Walk-up "" ""
40 "Round Trip" Walk-up "" ""
7 "One Way" "Monthly Pass" "" ""
33 "One Way" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
83 "Round Trip" Walk-up "" ""
82 "Round Trip" Walk-up "" ""
3 "One Way" "Monthly Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
17 "One Way" "One Day Pass" "" ""
162 "Round Trip" "Monthly Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
10 "One Way" Walk-up "" ""
18 "One Way" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
10 "One Way" "Flex Pass" "" ""
11 "One Way" "Monthly Pass" "" ""
13 "One Way" "Monthly Pass" "" ""
29 "Round Trip" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
14 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
7 "Round Trip" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
12 "One Way" "Monthly Pass" "" ""
14 "One Way" Walk-up "" ""
1440 "One Way" Walk-up "" ""
9 "One Way" "Monthly Pass" "" ""
62 "One Way" Walk-up "" ""
2 "Round Trip" Walk-up "" ""
6 "One Way" Walk-up "" ""
5 "One Way" "Monthly Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
37 "One Way" "Flex Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
1271 "Round Trip" Walk-up "" ""
5 "One Way" "Monthly Pass" "" ""
12 "One Way" "Monthly Pass" "" ""
74 "Round Trip" Walk-up "" ""
126 "Round Trip" Walk-up "" ""
72 "Round Trip" Walk-up "" ""
124 "Round Trip" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
77 "One Way" Walk-up "" ""
86 "Round Trip" Walk-up "" ""
17 "One Way" "Monthly Pass" "" ""
85 "Round Trip" Walk-up "" ""
7 "One Way" "Monthly Pass" "" ""
84 "Round Trip" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
15 "One Way" "Monthly Pass" "" ""
3 "One Way" "Monthly Pass" "" ""
4 "One Way" "Flex Pass" "" ""
24 "One Way" "Monthly Pass" "" ""
9 "One Way" "Flex Pass" "" ""
67 "Round Trip" Walk-up "" ""
70 "Round Trip" Walk-up "" ""
8 "One Way" Walk-up "" ""
8 "One Way" "Monthly Pass" "" ""
37 "One Way" Walk-up "" ""
37 "One Way" Walk-up "" ""
11 "One Way" "Monthly Pass" "" ""
22 "One Way" "Monthly Pass" "" ""
9 "One Way" Walk-up "" ""
26 "One Way" "Monthly Pass" "" ""
11 "One Way" "Monthly Pass" "" ""
14 "One Way" Walk-up "" ""
16 "Round Trip" "Monthly Pass" "" ""
14 "One Way" Walk-up "" ""
10 "One Way" Walk-up "" ""
8 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
25 "One Way" Walk-up "" ""
16 "One Way" Walk-up "" ""
7 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
19 "One Way" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
3 "One Way" "Monthly Pass" "" ""
14 "One Way" "One Day Pass" "" ""
3 "One Way" "Monthly Pass" "" ""
3 "One Way" "Monthly Pass" "" ""
17 "One Way" "Monthly Pass" "" ""
30 "One Way" Walk-up "" ""
6 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
11 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
23 "One Way" Walk-up "" ""
23 "One Way" "Monthly Pass" "" ""
22 "One Way" Walk-up "" ""
19 "One Way" Walk-up "" ""
24 "One Way" "One Day Pass" "" ""
25 "One Way" "Monthly Pass" "" ""
108 "One Way" Walk-up "" ""
7 "One Way" "Monthly Pass" "" ""
106 "One Way" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
25 "One Way" Walk-up "" ""
2 "One Way" "Monthly Pass" "" ""
2 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
3 "One Way" "Monthly Pass" "" ""
12 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
7 "One Way" Walk-up "" ""
13 "One Way" Walk-up "" ""
8 "One Way" "Monthly Pass" "" ""
27 "Round Trip" "Monthly Pass" "" ""
9 "One Way" "Monthly Pass" "" ""
51 "One Way" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
3 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
19 "One Way" Walk-up "" ""
15 "One Way" Walk-up "" ""
6 "One Way" "Monthly Pass" "" ""
12 "One Way" "Monthly Pass" "" ""
18 "One Way" Walk-up "" ""
12 "One Way" "Monthly Pass" "" ""
49 "One Way" Walk-up "" ""
25 "One Way" "Monthly Pass" "" ""
48 "One Way" Walk-up "" ""
8 "One Way" "Monthly Pass" "" ""
22 "One Way" Walk-up "" ""
144 "One Way" Walk-up "" ""
15 "One Way" "Monthly Pass" "" ""
143 "One Way" Walk-up "" ""
141 "One Way" Walk-up "" ""
10 "One Way" Walk-up "" ""
13 "One Way" "Monthly Pass" "" ""
12 "One Way" "Monthly Pass" "" ""
41 "One Way" "Monthly Pass" "" ""
3 "One Way" "Monthly Pass" "" ""
11 "One Way" Walk-up "" ""
18 "One Way" "Monthly Pass" "" ""
19 "Round Trip" "Monthly Pass" "" ""
7 "One Way" Walk-up "" ""
17 "Round Trip" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
27 "One Way" Walk-up "" ""
9 "Round Trip" "Monthly Pass" "" ""
16 "One Way" Walk-up "" ""
14 "Round Trip" Walk-up "" ""
8 "One Way" "Monthly Pass" "" ""
126 "One Way" Walk-up "" ""
141 "Round Trip" "Monthly Pass" "" ""
3 "One Way" "Monthly Pass" "" ""
9 "One Way" "One Day Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
45 "One Way" Walk-up "" ""
17 "One Way" "Monthly Pass" "" ""
36 "One Way" Walk-up "" ""
22 "One Way" "Monthly Pass" "" ""
34 "One Way" Walk-up "" ""
94 "Round Trip" Walk-up "" ""
43 "One Way" "Monthly Pass" "" ""
13 "One Way" "Monthly Pass" "" ""
41 "One Way" Walk-up "" ""
257 "One Way" "Monthly Pass" "" ""
90 "Round Trip" Walk-up "" ""
9 "One Way" "Monthly Pass" "" ""
89 "Round Trip" Walk-up "" ""
3 "One Way" "Monthly Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
17 "One Way" "Monthly Pass" "" ""
88 "Round Trip" Walk-up "" ""
12 "One Way" "Monthly Pass" "" ""
6 "One Way" Walk-up "" ""
13 "One Way" "Monthly Pass" "" ""
26 "Round Trip" Walk-up "" ""
38 "One Way" Walk-up "" ""
36 "One Way" Walk-up "" ""
82 "One Way" Walk-up "" ""
81 "One Way" Walk-up "" ""
2 "One Way" "Monthly Pass" "" ""
11 "One Way" "Monthly Pass" "" ""
3 "One Way" "Monthly Pass" "" ""
6 "One Way" Walk-up "" ""
9 "Round Trip" Walk-up "" ""
10 "One Way" "One Day Pass" "" ""
89 "Round Trip" Walk-up "" ""
3 "One Way" "Monthly Pass" "" ""
8 "One Way" "Monthly Pass" "" ""
83 "One Way" Walk-up "" ""
82 "One Way" Walk-up "" ""
37 "One Way" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
1 "Round Trip" "Monthly Pass" "" ""
20 "One Way" "Monthly Pass" "" ""
32 "Round Trip" Walk-up "" ""
6 "One Way" "Monthly Pass" "" ""
80 "One Way" Walk-up "" ""
2 "Round Trip" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
14 "One Way" "Monthly Pass" "" ""
35 "One Way" "Monthly Pass" "" ""
1 "Round Trip" "Monthly Pass" "" ""
23 "One Way" "Monthly Pass" "" ""
45 "One Way" Walk-up "" ""
9 "One Way" "Monthly Pass" "" ""
12 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
128 "One Way" Walk-up "" ""
7 "One Way" "Monthly Pass" "" ""
42 "One Way" Walk-up "" ""
41 "One Way" Walk-up "" ""
7 "One Way" Walk-up "" ""
17 "One Way" Walk-up "" ""
2 "Round Trip" Walk-up "" ""
4 "One Way" Walk-up "" ""
12 "One Way" "Flex Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
3 "One Way" "Monthly Pass" "" ""
11 "One Way" "Flex Pass" "" ""
12 "One Way" Walk-up "" ""
14 "One Way" "Monthly Pass" "" ""
43 "One Way" Walk-up "" ""
10 "One Way" Walk-up "" ""
24 "Round Trip" Walk-up "" ""
5 "One Way" "Monthly Pass" "" ""
16 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
9 "One Way" Walk-up "" ""
17 "One Way" Walk-up "" ""
8 "One Way" Walk-up "" ""
49 "Round Trip" Walk-up "" ""
3 "One Way" Walk-up "" ""
5 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
19 "One Way" "Monthly Pass" "" ""
6 "One Way" "Annual Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
39 "Round Trip" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
32 "One Way" Walk-up "" ""
38 "Round Trip" Walk-up "" ""
37 "Round Trip" Walk-up "" ""
6 "One Way" "Monthly Pass" "" ""
8 "One Way" "Monthly Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
1095 "Round Trip" Walk-up "" ""
63 "One Way" Walk-up "" ""
15 "One Way" "Monthly Pass" "" ""
24 "One Way" Walk-up "" ""
5 "One Way" "Monthly Pass" "" ""
22 "One Way" Walk-up "" ""
23 "One Way" Walk-up "" ""
33 "One Way" "Monthly Pass" "" ""
14 "One Way" "Monthly Pass" "" ""
20 "Round Trip" Walk-up "" ""
7 "One Way" Walk-up "" ""
6 "One Way" "Monthly Pass" "" ""
91 "One Way" Walk-up "" ""
11 "One Way" "Monthly Pass" "" ""
88 "One Way" Walk-up "" ""
6 "One Way" Walk-up "" ""
14 "One Way" Walk-up "" ""
17 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
37 "One Way" Walk-up "" ""
36 "One Way" Walk-up "" ""
24 "One Way" Walk-up "" ""
23 "One Way" Walk-up "" ""
13 "One Way" "Monthly Pass" "" ""
18 "One Way" Walk-up "" ""
22 "One Way" Walk-up "" ""
21 "One Way" Walk-up "" ""
21 "One Way" Walk-up "" ""
5 "One Way" Walk-up "" ""
9 "One Way" Walk-up "" ""
5 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
14 "One Way" "One Day Pass" "" ""
87 "One Way" Walk-up "" ""
10 "One Way" Walk-up "" ""
84 "One Way" Walk-up "" ""
45 "One Way" "One Day Pass" "" ""
14 "One Way" "Monthly Pass" "" ""
65 "Round Trip" Walk-up "" ""
78 "One Way" "Monthly Pass" "" ""
3 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
16 "One Way" "Annual Pass" "" ""
15 "One Way" Walk-up "" ""
15 "One Way" "Monthly Pass" "" ""
46 "One Way" Walk-up "" ""
46 "One Way" Walk-up "" ""
24 "Round Trip" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
43 "One Way" Walk-up "" ""
5 "One Way" "Annual Pass" "" ""
42 "One Way" Walk-up "" ""
42 "One Way" Walk-up "" ""
41 "One Way" Walk-up "" ""
10 "One Way" "Monthly Pass" "" ""
15 "One Way" "Monthly Pass" "" ""
13 "One Way" Walk-up "" ""
61 "Round Trip" Walk-up "" ""
27 "One Way" Walk-up "" ""
59 "Round Trip" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
10 "One Way" "Flex Pass" "" ""
34 "One Way" Walk-up "" ""
33 "One Way" Walk-up "" ""
41 "Round Trip" Walk-up "" ""
19 "One Way" Walk-up "" ""
18 "One Way" "Monthly Pass" "" ""
40 "Round Trip" Walk-up "" ""
157 "Round Trip" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
18 "One Way" Walk-up "" ""
61 "One Way" Walk-up "" ""
156 "Round Trip" Walk-up "" ""
5 "One Way" "Monthly Pass" "" ""
51 "One Way" Walk-up "" ""
59 "One Way" Walk-up "" ""
3 "One Way" "Monthly Pass" "" ""
12 "One Way" "Monthly Pass" "" ""
49 "One Way" Walk-up "" ""
129 "Round Trip" Walk-up "" ""
16 "One Way" Walk-up "" ""
19 "Round Trip" Walk-up "" ""
8 "One Way" "Monthly Pass" "" ""
61 "One Way" Walk-up "" ""
5 "One Way" "Monthly Pass" "" ""
9 "One Way" "Monthly Pass" "" ""
9 "One Way" "Monthly Pass" "" ""
12 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
6 "One Way" Walk-up "" ""
26 "Round Trip" "Monthly Pass" "" ""
3 "One Way" "Monthly Pass" "" ""
13 "One Way" "Monthly Pass" "" ""
16 "One Way" Walk-up "" ""
51 "Round Trip" Walk-up "" ""
6 "One Way" "Monthly Pass" "" ""
51 "Round Trip" Walk-up "" ""
4 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
6 "One Way" Walk-up "" ""
1 "Round Trip" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
29 "One Way" "Monthly Pass" "" ""
6 "One Way" "Monthly Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
28 "Round Trip" Walk-up "" ""
45 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
5 "One Way" "Monthly Pass" "" ""
4 "One Way" "Monthly Pass" "" ""
10 "One Way" Walk-up "" ""
7 "One Way" "Monthly Pass" "" ""
16 "One Way" "Monthly Pass" "" ""
12 "One Way" "Monthly Pass" "" ""
7 "One Way" "Monthly Pass" "" ""
48 "One Way" Walk-up "" ""
87 "One Way" Walk-up "" ""
107 "Round Trip" Walk-up "" ""
8 "One Way" Walk-up "" ""
13 "One Way" "Monthly Pass" "" ""
10 "One Way" "Monthly Pass" "" ""
8 "One Way" "Monthly Pass" "" ""
20 "One Way" Walk-up "" ""
18 "One Way" "Monthly Pass" "" ""
