Father Mother Son Bin Bin(Father) Son_Mean Midpoint Raw_Mean Father_Height Son_Height
68.5 65 68.7 "68 to 69" "" "" "" Raw 68.5 68.7
68.5 65 68.5 "68 to 69" "" "" "" Raw 68.5 68.5
68.5 65 67.7 "68 to 69" "" "" "" Raw 68.5 67.7
"" "" "" "" "" "" "" Mean 62.5 65.25
"" "" "" "" "" "" "" Mean 64.5 68.08333333333333
"" "" "" "" "" "" "" Mean 65.5 67.8375
"" "" "" "" "" "" "" Mean 66.5 67.48918918918919
"" "" "" "" "" "" "" Mean 67.5 69.11935483870967
"" "" "" "" "" "" "" Mean 68.5 68.0627906976744
"" "" "" "" "" "" "" Mean 69.5 69.66410256410255
"" "" "" "" "" "" "" Mean 70.5 69.46666666666665
"" "" "" "" "" "" "" Mean 71.5 70.34912280701755
"" "" "" "" "" "" "" Mean 72.5 71.04230769230769
"" "" "" "" "" "" "" Mean 73.5 69.96923076923078
"" "" "" "" "" "" "" Mean 74.5 73.41666666666667
"" "" "" "" "" "" "" Mean 75.5 70.625
"" "" "" "" "" "" "" Mean 77.5 73.2
