Rank "School" "ROI" "Cost" "GradRate" "Years" "Loan"
427 "University of Arkansas(Out-of-State)" 323000 144000 64 4 28700
427 "University of Minnesota-Duluth(In-State)" 323000 94700 59 5 31000
427 "University of Toledo(In-State)" 323000 98100 43 5 25700
431 "California State University-Dominguez Hills(In-State)" 322000 90000 42 6 17100
431 "University of Hartford(Private)" 322000 201000 58 4 39800
431 "University of New Orleans(In-State)" 322000 85700 36 5 20600
434 "University of St Thomas (Texas)(Private)" 321000 173000 60 5 28600
435 "New Mexico State University-Main Campus(Out-of-State)" 320000 129000 45 5 19700
435 "Saint Cloud State University(In-State)" 320000 77700 45 6 31200
435 "Wayne State University(In-State)" 320000 97900 39 5 22600
438 "Concordia University-Saint Paul(Private)" 319000 130000 52 4 32300
438 "Dallas Baptist University(Private)" 319000 144000 59 4 46500
438 "Rutgers University-Camden(In-State)" 319000 119000 59 5 27200
438 "University of South Florida-Main Campus(In-State)" 319000 84200 67 4 34000
438 "University of Wyoming(Out-of-State)" 319000 117000 55 5 28000
443 "University of North Dakota(Out-of-State)" 318000 126000 55 5 38000
443 "University of Wisconsin-Stout(In-State)" 318000 76600 54 5 29100
445 "Central Connecticut State University(Out-of-State)" 317000 146000 54 5 27100
445 "Purdue University-Calumet Campus(In-State)" 317000 86500 32 5 21700
447 "CUNY Hunter College(Out-of-State)" 316000 111000 53 5 22600
447 "McNeese State University(In-State)" 316000 77100 42 5 19500
447 "Midwestern State University(In-State)" 316000 75000 41 5 22500
447 "SUNY College at Geneseo(In-State)" 316000 92000 81 4 27000
447 "University of Iowa(Out-of-State)" 316000 163000 72 4 29000
447 "University of Missouri-Kansas City(In-State)" 316000 98200 49 5 25700
453 "Benedictine University(Private)" 315000 162000 51 4 25900
453 "University of Missouri-Columbia(Out-of-State)" 315000 158000 68 5 30300
455 "Florida State University(In-State)" 314000 87800 80 4 28500
455 "Framingham State University(In-State)" 314000 94800 55 5 26700
455 "Idaho State University(In-State)" 314000 83500 29 5 24900
455 "SUNY Polytechnic Institute(Out-of-State)" 314000 133000 44 4 25800
459 "Florida Atlantic University(In-State)" 313000 88400 50 5 26200
459 "Merrimack College(Private)" 313000 210000 73 4 41100
459 "Sonoma State University(Out-of-State)" 313000 141000 61 5 22900
459 "Temple University(In-State)" 313000 125000 71 5 35800
459 "Texas A & M University-Kingsville(Out-of-State)" 313000 134000 29 5 27100
459 "University of Idaho(Out-of-State)" 313000 136000 56 5 28000
465 "Montclair State University(Out-of-State)" 312000 149000 65 5 31600
465 "University of Kansas(Out-of-State)" 312000 158000 63 4 26700
467 "Indiana University-Purdue University-Indianapolis(In-State)" 311000 88200 46 5 26100
468 "California State University-San Bernardino(In-State)" 310000 84500 55 5 18200
468 "University of Kentucky(In-State)" 310000 104000 64 5 31900
468 "University of North Carolina at Charlotte(Out-of-State)" 310000 134000 57 5 27200
471 "Minnesota State University-Mankato(In-State)" 309000 74900 51 6 32800
471 "Montana State University(Out-of-State)" 309000 140000 53 5 26900
473 "Midwestern State University(Out-of-State)" 308000 82800 41 5 22500
473 "Tennessee Technological University(Out-of-State)" 308000 158000 51 5 20600
473 "Texas State University(In-State)" 308000 83300 54 5 24000
473 "Tuskegee University(Private)" 308000 140000 46 4 15400
477 "Auburn University(Out-of-State)" 307000 184000 75 5 32200
477 "California State University-Bakersfield(In-State)" 307000 93100 43 5 18100
477 "Central Washington University(Out-of-State)" 307000 141000 52 5 22700
477 "Ferris State University(Out-of-State)" 307000 115000 43 5 30600
477 "Gwynedd Mercy University(Private)" 307000 177000 51 4 41000
477 "University of Minnesota-Duluth(Out-of-State)" 307000 110000 59 5 31000
477 "University of Nevada-Reno(Out-of-State)" 307000 147000 54 5 24400
484 "California State University-Stanislaus(Out-of-State)" 306000 127000 57 5 19100
484 "Ohio State University-Main Campus(Out-of-State)" 306000 170000 84 4 28900
484 "Saint Martin's University(Private)" 306000 186000 55 4 28600
484 "Texas A & M University-Corpus Christi(In-State)" 306000 82400 35 5 24800
484 "The University of Alabama(In-State)" 306000 111000 69 5 38800
484 "University of Central Florida(In-State)" 306000 86200 69 5 24600
490 "Quinnipiac University(Private)" 305000 234000 78 4 47000
490 "Stevenson University(Private)" 305000 186000 53 4 32600
490 "Texas Woman's University(In-State)" 305000 74500 38 5 21100
490 "University of Houston-Victoria(Out-of-State)" 305000 121000 18 5 20600
494 "SUNY College of Technology at Alfred(Out-of-State)" 304000 122000 48 4 31200
494 "The University of Texas of the Permian Basin(In-State)" 304000 72500 34 5 13800
494 "Wayland Baptist University(Private)" 304000 102000 24 5 32200
497 "SUNY College at Old Westbury(Out-of-State)" 303000 126000 43 5 21400
497 "Saint Peter's University(Private)" 303000 201000 54 4 23400
497 "University of Nebraska-Lincoln(Out-of-State)" 303000 149000 67 5 24500
497 "Western Michigan University(In-State)" 303000 93000 53 5 31900
497 "Western Washington University(Out-of-State)" 303000 140000 69 5 24000
502 "Southern Illinois University-Edwardsville(In-State)" 302000 93500 48 5 25000
502 "University of Colorado Colorado Springs(In-State)" 302000 91000 47 5 26100
502 "University of Wisconsin-Milwaukee(In-State)" 302000 91600 40 5 29200
502 "Wellesley College(Private)" 302000 250000 91 4 18500
506 "Aquinas College (Tennessee)(Private)" 301000 140000 21 4 25100
506 "Dakota State University(In-State)" 301000 76600 39 5 27100
508 "Howard University(Private)" 300000 169000 61 5 31400
508 "Ramapo College of New Jersey(Out-of-State)" 300000 154000 73 4 36100
508 "Southwestern College(Private)" 300000 156000 38 4 28200
511 "Baker College(Private)" 299000 82000 15 5 22200
511 "Connecticut College(Private)" 299000 256000 84 4 35300
511 "Northern Illinois University(Out-of-State)" 299000 152000 47 5 29700
511 "Portland State University(In-State)" 299000 94700 48 5 24100
511 "University of Akron Main Campus(In-State)" 299000 99000 38 5 28900
511 "University of North Texas(In-State)" 299000 86400 52 5 22400
517 "California Lutheran University(Private)" 298000 221000 73 4 32300
517 "Colorado State University-Fort Collins(Out-of-State)" 298000 162000 67 5 26900
517 "University of Massachusetts-Dartmouth(Out-of-State)" 298000 160000 48 5 27300
517 "William Paterson University of New Jersey(In-State)" 298000 112000 51 5 27600
521 "Albertus Magnus College(Private)" 297000 198000 53 4 29500
521 "Bowie State University(Out-of-State)" 297000 126000 37 5 26500
521 "Salisbury University(In-State)" 297000 94400 69 4 26800
524 "Oklahoma State University-Main Campus(Out-of-State)" 296000 141000 63 5 23900
524 "Rowan University(In-State)" 296000 113000 71 4 26200
524 "St Mary's College of Maryland(In-State)" 296000 116000 73 4 24000
524 "University of Georgia(Out-of-State)" 296000 169000 85 4 23700
524 "Western Connecticut State University(Out-of-State)" 296000 146000 46 5 24400
529 "Dominican College of Blauvelt(Private)" 295000 167000 43 4 31000
529 "Wright State University-Main Campus(In-State)" 295000 92000 36 5 26400
531 "Kansas State University(Out-of-State)" 294000 145000 63 5 25900
531 "University of Oregon(In-State)" 294000 99700 72 4 29700
531 "Wesleyan University(Private)" 294000 260000 91 4 24900
534 "Mississippi State University(In-State)" 293000 90800 60 5 26900
534 "Oakland University(Out-of-State)" 293000 143000 47 5 22300
534 "Pacific Union College(Private)" 293000 164000 50 5 35500
537 "Adelphi University(Private)" 292000 202000 68 4 35600
537 "Norwich University(Private)" 292000 208000 58 4 44500
539 "California State University-San Marcos(Out-of-State)" 291000 141000 52 5 22000
539 "Dakota State University(Out-of-State)" 291000 86500 39 5 27100
539 "LIU Brooklyn(Private)" 291000 209000 33 5 26700
539 "Saint Louis University(Private)" 291000 220000 74 4 32000
539 "University of New Mexico-Main Campus(In-State)" 291000 82800 44 5 18500
539 "Westminster College (Utah)(Private)" 291000 176000 62 4 27900
545 "Florida International University(Out-of-State)" 290000 142000 56 5 23800
545 "Framingham State University(Out-of-State)" 290000 119000 55 5 26700
545 "University of Louisiana at Monroe(In-State)" 290000 75500 43 5 19500
545 "University of New Hampshire-Main Campus(Out-of-State)" 290000 178000 78 4 40700
549 "Denison University(Private)" 289000 239000 80 4 28000
549 "Drake University(Private)" 289000 189000 78 4 31500
549 "Duquesne University(Private)" 289000 190000 79 4 38900
549 "Regent University(Private)" 289000 116000 30 5 27600
553 "Boise State University(In-State)" 288000 80500 39 5 24500
553 "College of Saint Elizabeth(Private)" 288000 196000 50 4 25000
553 "Saint Cloud State University(Out-of-State)" 288000 109000 45 6 31200
553 "The University of Texas at El Paso(Out-of-State)" 288000 134000 39 5 17600
553 "Trine University(Private)" 288000 187000 56 4 32400
553 "University of Washington-Tacoma Campus(Out-of-State)" 288000 196000 60 4 19400
553 "Wichita State University(In-State)" 288000 83100 46 5 33100
560 "Holy Family University(Private)" 287000 178000 60 4 30500
560 "Nichols College(Private)" 287000 193000 41 4 35000
560 "Ohio University-Main Campus(Out-of-State)" 287000 139000 64 4 33000
560 "Saint Anselm College(Private)" 287000 211000 72 4 38200
560 "University of Portland(Private)" 287000 226000 82 4 28700
560 "University of Wisconsin-Stout(Out-of-State)" 287000 108000 54 5 29100
566 "Illinois State University(In-State)" 286000 109000 72 4 31900
566 "University of North Florida(In-State)" 286000 84000 54 5 25400
566 "University of Toledo(Out-of-State)" 286000 135000 43 5 25700
569 "Southern Illinois University-Carbondale(In-State)" 285000 106000 44 5 28500
569 "The University of Texas of the Permian Basin(Out-of-State)" 285000 91600 34 5 13800
571 "Assumption College(Private)" 284000 199000 74 4 37600
571 "Dominican University of California(Private)" 284000 242000 72 4 30400
571 "Fitchburg State University(In-State)" 284000 87100 54 5 28700
571 "Kean University(In-State)" 284000 112000 50 5 42000
571 "Ohio Northern University(Private)" 284000 182000 78 4 40800
571 "University of Nebraska at Omaha(In-State)" 284000 80300 45 6 21100
571 "Widener University-Main Campus(Private)" 284000 228000 57 4 42300
578 "California State University-Los Angeles(Out-of-State)" 283000 138000 46 6 15200
578 "University of Maine(In-State)" 283000 94200 59 5 32300
580 "Alderson Broaddus University(Private)" 282000 140000 49 4 36900
580 "California State University-Monterey Bay(In-State)" 282000 80700 55 5 18100
580 "Purdue University-Calumet Campus(Out-of-State)" 282000 121000 32 5 21700
580 "Rivier University(Private)" 282000 177000 59 4 41800
580 "The University of Texas at San Antonio(In-State)" 282000 85500 35 5 24200
585 "Morehouse College(Private)" 281000 191000 50 4 30500
586 "Georgia State University(In-State)" 280000 103000 53 5 23400
586 "Marymount University(Private)" 280000 177000 52 4 29300
586 "Rosemont College(Private)" 280000 176000 48 4 34400
586 "Towson University(Out-of-State)" 280000 144000 71 5 28400
586 "University of Nevada-Las Vegas(Out-of-State)" 280000 145000 41 5 22200
586 "Vermont Technical College(Out-of-State)" 280000 147000 48 4 39000
586 "Worcester State University(In-State)" 280000 95900 56 5 28200
593 "Muhlenberg College(Private)" 279000 234000 83 4 30600
593 "University of New Haven(Private)" 279000 210000 57 4 45000
593 "University of St Francis(Private)" 279000 168000 63 4 26400
596 "La Sierra University(Private)" 278000 172000 52 5 22200
596 "Minnesota State University-Mankato(Out-of-State)" 278000 105000 51 6 32800
596 "New Jersey City University(In-State)" 278000 111000 31 5 19700
596 "The University of Tennessee-Knoxville(In-State)" 278000 117000 69 5 27600
600 "California State University-Dominguez Hills(Out-of-State)" 277000 135000 42 6 17100
600 "SUNY College at Geneseo(Out-of-State)" 277000 131000 81 4 27000
600 "University of California-Riverside(Out-of-State)" 277000 230000 73 5 22600
600 "University of North Carolina at Chapel Hill(Out-of-State)" 277000 196000 91 4 26700
604 "Clayton  State University(In-State)" 276000 75800 32 5 26500
604 "Indiana University-Bloomington(Out-of-State)" 276000 190000 76 4 30400
604 "Mount Saint Mary College(Private)" 276000 177000 54 4 29500
604 "Sam Houston State University(In-State)" 276000 82500 51 5 23200
604 "The University of Texas at Tyler(In-State)" 276000 84100 39 5 20500
604 "University of South Florida-Main Campus(Out-of-State)" 276000 128000 67 4 34000
610 "Augusta University(In-State)" 275000 82500 26 5 20300
610 "Immaculata University(Private)" 275000 206000 67 4 42500
610 "Lincoln College(Private)" 275000 121000 37 "" 23300
610 "North Carolina A & T State University(Out-of-State)" 275000 119000 43 5 25200
610 "Northern Kentucky University(In-State)" 275000 82900 38 5 21800
615 "Barry University(Private)" 274000 182000 31 5 25700
615 "Saint Mary's University of Minnesota(Private)" 274000 167000 61 4 33500
615 "York College Pennsylvania(Private)" 274000 125000 61 5 36100
618 "Notre Dame of Maryland University(Private)" 273000 189000 50 4 31700
618 "Warner Pacific College(Private)" 273000 134000 41 4 27200
620 "Temple University(Out-of-State)" 272000 166000 71 5 35800
620 "Westmont College(Private)" 272000 226000 77 4 31000
622 "McNeese State University(Out-of-State)" 271000 121000 42 5 19500
622 "Mount Saint Mary's University(Private)" 271000 214000 59 4 16200
622 "Oklahoma Christian University(Private)" 271000 125000 49 4 28500
622 "University of Missouri-Kansas City(Out-of-State)" 271000 143000 49 5 25700
626 "Texas A & M University-Corpus Christi(Out-of-State)" 270000 119000 35 5 24800
626 "University of California-Santa Cruz(Out-of-State)" 270000 235000 77 4 23400
626 "University of South Alabama(In-State)" 270000 80600 38 5 41200
629 "Creighton University(Private)" 269000 200000 79 4 36000
629 "University of Denver(Private)" 269000 236000 79 4 29700
631 "Baker University(Private)" 268000 163000 55 4 27200
631 "Baylor University(Private)" 268000 224000 74 4 49100
631 "Cedarville University(Private)" 268000 145000 72 4 29700
631 "University of New Orleans(Out-of-State)" 268000 139000 36 5 20600
635 "Butler University(Private)" 267000 208000 74 4 35600
635 "Furman University(Private)" 267000 240000 84 4 30900
635 "Wayne State University(Out-of-State)" 267000 151000 39 5 22600
635 "William Paterson University of New Jersey(Out-of-State)" 267000 143000 51 5 27600
639 "Concordia University-Texas(Private)" 266000 164000 35 4 24900
639 "North Central College(Private)" 266000 190000 69 4 30000
639 "Texas State University(Out-of-State)" 266000 125000 54 5 24000
642 "Austin College(Private)" 265000 198000 73 4 32700
642 "California State University-San Bernardino(Out-of-State)" 265000 129000 55 5 18200
642 "Elizabethtown College(Private)" 265000 212000 74 4 36300
642 "Simmons College(Private)" 265000 219000 74 4 35700
642 "Southern Utah University(In-State)" 265000 78200 49 5 15600
642 "Southwestern Oklahoma State University(In-State)" 265000 74100 28 5 15900
642 "University of Akron Main Campus(Out-of-State)" 265000 133000 38 5 28900
642 "University of Miami(Private)" 265000 250000 82 4 34200
650 "Colorado Christian University(Private)" 264000 163000 53 4 33700
650 "Goldey-Beacom College(Private)" 264000 146000 68 5 25200
650 "Rowan University(Out-of-State)" 264000 145000 71 4 26200
650 "Salisbury University(Out-of-State)" 264000 128000 69 4 26800
650 "Texas Woman's University(Out-of-State)" 264000 115000 38 5 21100
655 "Brigham Young University-Hawaii(Private)" 263000 66200 54 6 18500
655 "Florida Atlantic University(Out-of-State)" 263000 138000 50 5 26200
655 "Nova Southeastern University(Private)" 263000 180000 50 4 27700
655 "Pacific Lutheran University(Private)" 263000 204000 71 4 30400
655 "University of North Texas(Out-of-State)" 263000 123000 52 5 22400
655 "University of Puget Sound(Private)" 263000 235000 80 4 34600
661 "California State University-Bakersfield(Out-of-State)" 262000 138000 43 5 18100
661 "Christian Brothers University(Private)" 262000 163000 51 5 24200
661 "Hawaii Pacific University(Private)" 262000 154000 42 5 28000
661 "Hobart William Smith Colleges(Private)" 262000 254000 77 4 33500
661 "Old Dominion University(Out-of-State)" 262000 160000 51 5 33000
661 "Presentation College(Private)" 262000 124000 40 4 33200
661 "University of Wisconsin-Milwaukee(Out-of-State)" 262000 132000 40 5 29200
661 "University of Wisconsin-Whitewater(In-State)" 262000 70400 57 5 27800
661 "Wright State University-Main Campus(Out-of-State)" 262000 125000 36 5 26400
670 "Dominican University(Private)" 261000 168000 62 4 23900
670 "Idaho State University(Out-of-State)" 261000 136000 29 5 24900
670 "John Carroll University(Private)" 261000 204000 76 4 31100
670 "Manhattanville College(Private)" 261000 212000 48 4 33000
670 "Monmouth University(Private)" 261000 198000 70 4 39200
670 "Rutgers University-Camden(Out-of-State)" 261000 176000 59 5 27200
670 "Truman State University(In-State)" 261000 81500 72 4 24100
670 "University of Louisiana at Lafayette(In-State)" 261000 84700 45 5 19400
678 "Cleveland State University(In-State)" 260000 103000 41 5 25500
678 "Fitchburg State University(Out-of-State)" 260000 111000 54 5 28700
678 "University of Colorado Colorado Springs(Out-of-State)" 260000 133000 47 5 26100
678 "University of Wisconsin-La Crosse(In-State)" 260000 71400 68 5 26200
682 "Barnard College(Private)" 259000 259000 91 4 20700
682 "Westminster College (Missouri)(Private)" 259000 147000 64 4 24300
684 "Kean University(Out-of-State)" 258000 138000 50 5 42000
684 "North Carolina Wesleyan College(Private)" 258000 158000 21 5 25800
684 "Saint Leo University(Private)" 258000 143000 40 4 18200
684 "University of Kentucky(Out-of-State)" 258000 155000 64 5 31900
684 "University of La Verne(Private)" 258000 220000 66 4 27200
689 "Virginia Commonwealth University(In-State)" 257000 118000 62 5 30800
689 "West Chester University of Pennsylvania(In-State)" 257000 104000 70 4 33800
689 "Youngstown State University(In-State)" 257000 86300 30 5 23000
692 "Chapman University(Private)" 256000 253000 79 4 23000
692 "Florida Gulf Coast University(In-State)" 256000 79800 46 5 35100
692 "Newman University(Private)" 256000 147000 51 4 23400
692 "Southern Illinois University-Edwardsville(Out-of-State)" 256000 139000 48 5 25000
692 "Worcester State University(Out-of-State)" 256000 120000 56 5 28200
692 "Youngstown State University(Out-of-State)" 256000 87300 30 5 23000
698 "D'Youville College(Private)" 255000 157000 45 5 36300
698 "Ithaca College(Private)" 255000 232000 75 4 23900
698 "University of Vermont(Out-of-State)" 255000 210000 74 4 33900
698 "Wichita State University(Out-of-State)" 255000 116000 46 5 33100
702 "Northern Arizona University(In-State)" 254000 99400 53 4 24500
702 "The New School(Private)" 254000 256000 68 4 33100
702 "University of Hawaii at Manoa(In-State)" 254000 107000 58 5 26500
702 "Winona State University(In-State)" 254000 84900 59 6 37500
706 "College of Mount Saint Vincent(Private)" 253000 172000 55 4 24600
706 "Florida State University(Out-of-State)" 253000 148000 80 4 28500
706 "Morgan State University(In-State)" 253000 93500 32 5 27200
709 "Elon University(Private)" 252000 184000 82 4 32200
709 "Illinois State University(Out-of-State)" 252000 143000 72 4 31900
711 "Cabrini University(Private)" 251000 182000 60 4 47400
711 "Carleton College(Private)" 251000 254000 92 4 18800
711 "Illinois Wesleyan University(Private)" 251000 214000 81 4 32500
711 "Mid-America Christian University(Private)" 251000 113000 33 5 45100
711 "Ursinus College(Private)" 251000 248000 78 4 32600
716 "Jacksonville University(Private)" 250000 192000 42 4 34600
716 "Massachusetts College of Art and Design(In-State)" 250000 112000 72 4 35900
718 "Pennsylvania College of Technology(In-State)" 249000 124000 46 5 43400
718 "Texas A & M University-Commerce(In-State)" 249000 72800 43 5 23200
718 "University of Louisville(In-State)" 249000 98400 53 5 25400
718 "University of Missouri-St Louis(In-State)" 249000 94300 53 5 23200
718 "Valparaiso University(Private)" 249000 194000 66 4 29900
723 "Bloomsburg University of Pennsylvania(In-State)" 248000 90800 62 5 31400
723 "SUNY College of Environmental Science and Forestry(In-State)" 248000 101000 75 4 27700
723 "Siena College(Private)" 248000 199000 75 4 30600
723 "Taylor University(Private)" 248000 166000 76 4 28500
727 "Clarkson College(Private)" 247000 108000 46 4 48800
727 "Hartwick College(Private)" 247000 213000 60 4 41400
727 "Pratt Institute-Main(Private)" 247000 246000 70 4 29800
730 "Cleveland State University(Out-of-State)" 246000 117000 41 5 25500
730 "Mississippi State University(Out-of-State)" 246000 138000 60 5 26900
730 "Northwest University(Private)" 246000 154000 56 4 40700
730 "University of Mississippi(In-State)" 246000 92100 60 5 33500
734 "Emmanuel College (Massachusetts)(Private)" 245000 213000 67 4 34100
734 "Frostburg State University(In-State)" 245000 81500 47 5 28700
734 "Middle Georgia State University(In-State)" 245000 62500 N/A "" 23900
734 "Otis College of Art and Design(Private)" 245000 233000 60 4 26100
734 "Shippensburg University of Pennsylvania(In-State)" 245000 102000 56 4 37600
734 "Texas A & M International University(In-State)" 245000 72900 41 5 16700
734 "The University of Alabama(Out-of-State)" 245000 173000 69 5 38800
734 "Western Michigan University(Out-of-State)" 245000 151000 53 5 31900
742 "New Jersey City University(Out-of-State)" 244000 145000 31 5 19700
742 "Rider University(Private)" 244000 219000 66 4 42100
742 "The University of Texas at San Antonio(Out-of-State)" 244000 123000 35 5 24200
745 "Moravian College(Private)" 243000 210000 69 4 30900
745 "Southern University and A & M College(In-State)" 243000 80700 29 5 24900
745 "University of Louisiana at Monroe(Out-of-State)" 243000 122000 43 5 19500
748 "Alabama A & M University(In-State)" 242000 88500 27 5 39000
748 "Christopher Newport University(In-State)" 242000 109000 75 4 31700
748 "Eastern Michigan University(In-State)" 242000 88400 41 5 24700
748 "Hampton University(Private)" 242000 145000 55 4 49200
748 "Point Loma Nazarene University(Private)" 242000 186000 71 4 30900
748 "University of Central Florida(Out-of-State)" 242000 151000 69 5 24600
748 "University of South Alabama(Out-of-State)" 242000 108000 38 5 41200
748 "West Texas A & M University(In-State)" 242000 80000 44 5 23300
756 "Eastern Connecticut State University(In-State)" 241000 101000 54 4 28500
756 "Northern Kentucky University(Out-of-State)" 241000 117000 38 5 21800
756 "Roger Williams University(Private)" 241000 201000 64 4 44400
759 "Bridgewater State University(In-State)" 240000 95700 59 5 28700
759 "St Francis College(Private)" 240000 173000 52 5 33100
759 "Tarleton State University(In-State)" 240000 74400 43 5 33700
762 "East Carolina University(In-State)" 239000 83700 61 5 28200
762 "Occidental College(Private)" 239000 265000 81 4 29000
762 "Sam Houston State University(Out-of-State)" 239000 119000 51 5 23200
762 "Seattle Pacific University(Private)" 239000 204000 71 4 30800
762 "Southwestern Oklahoma State University(Out-of-State)" 239000 100000 28 5 15900
762 "University of Nebraska at Omaha(Out-of-State)" 239000 126000 45 6 21100
762 "William Jewell College(Private)" 239000 181000 63 4 28600
769 "St Mary's College of Maryland(Out-of-State)" 238000 175000 73 4 24000
769 "West Texas A & M University(Out-of-State)" 238000 83500 44 5 23300
771 "California State University-Monterey Bay(Out-of-State)" 237000 125000 55 5 18100
771 "New College of Florida(In-State)" 237000 80900 63 4 21800
771 "Pennsylvania State University-Penn State Berks(In-State)" 237000 127000 56 4 31100
771 "Southeastern Oklahoma State University(In-State)" 237000 63900 25 5 16200
771 "University of Maryland Eastern Shore(In-State)" 237000 87500 36 5 26100
771 "University of Memphis(In-State)" 237000 95800 42 5 21700
771 "University of South Carolina-Columbia(In-State)" 237000 103000 73 4 32200
778 "Clayton  State University(Out-of-State)" 236000 116000 32 5 26500
778 "Eastern Washington University(In-State)" 236000 88000 47 5 25300
778 "Northwood University-Michigan(Private)" 236000 148000 57 4 29900
778 "Rhode Island School of Design(Private)" 236000 255000 90 4 33200
778 "Stockton University(In-State)" 236000 115000 70 4 32700
778 "Truman State University(Out-of-State)" 236000 106000 72 4 24100
784 "Loyola University Chicago(Private)" 235000 220000 75 4 34500
784 "Portland State University(Out-of-State)" 235000 158000 48 5 24100
784 "South Dakota State University(In-State)" 235000 96900 53 5 32000
787 "Boise State University(Out-of-State)" 234000 134000 39 5 24500
787 "Indiana Wesleyan University-Marion(Private)" 234000 143000 65 4 29000
787 "Kalamazoo College(Private)" 234000 215000 81 4 32000
787 "University of New Mexico-Main Campus(Out-of-State)" 234000 139000 44 5 18500
791 "CUNY Lehman College(In-State)" 233000 104000 44 5 17900
791 "Southern Illinois University-Carbondale(Out-of-State)" 233000 158000 44 5 28500
791 "Troy University(In-State)" 233000 75000 37 5 27300
794 "Marietta College(Private)" 232000 187000 61 4 41200
794 "Rhode Island College(In-State)" 232000 83300 47 5 24500
794 "University of Indianapolis(Private)" 232000 159000 55 4 29900
794 "Winona State University(Out-of-State)" 232000 107000 59 6 37500
798 "Skidmore College(Private)" 231000 256000 89 4 32700
798 "University of Wisconsin-Whitewater(Out-of-State)" 231000 102000 57 5 27800
800 "Calvin College(Private)" 230000 173000 77 4 27400
800 "Holy Names University(Private)" 230000 208000 45 4 23800
800 "Houston Baptist University(Private)" 230000 167000 44 5 25600
800 "Scripps College(Private)" 230000 260000 84 4 27400
800 "The University of Texas at Tyler(Out-of-State)" 230000 130000 39 5 20500
805 "Southwestern Adventist University(Private)" 229000 124000 47 5 24800
805 "St Mary's University(Private)" 229000 160000 59 4 27100
805 "University of Wisconsin-La Crosse(Out-of-State)" 229000 103000 68 5 26200
805 "University of Wisconsin-Oshkosh(In-State)" 229000 73000 53 5 26000
809 "Central Michigan University(In-State)" 228000 90900 57 5 24400
809 "Indiana University-Purdue University-Indianapolis(Out-of-State)" 228000 172000 46 5 26100
809 "Pennsylvania State University-Penn State Altoona(In-State)" 228000 127000 67 4 35200
809 "University of North Florida(Out-of-State)" 228000 142000 54 5 25400
813 "Abilene Christian University(Private)" 227000 176000 62 4 46600
813 "Alfred University(Private)" 227000 165000 61 4 32700
813 "Florida Agricultural and Mechanical University(In-State)" 227000 81900 41 5 24900
813 "Georgia Southern University(In-State)" 227000 90900 51 5 25000
813 "SUNY Oneonta(In-State)" 227000 90600 72 4 26700
813 "Suffolk University(Private)" 227000 207000 59 4 36500
819 "Bowling Green State University-Main Campus(In-State)" 226000 96200 55 5 28500
819 "Colorado State University-Pueblo(In-State)" 226000 90300 32 5 18800
819 "Salem State University(In-State)" 226000 95000 52 5 30800
819 "St John's College(Private)" 226000 245000 76 4 24200
819 "Tennessee State University(In-State)" 226000 76400 34 5 27400
824 "Augusta University(Out-of-State)" 225000 132000 26 5 20300
824 "Southwestern University(Private)" 225000 201000 72 4 32000
826 "Columbia College (Missouri)(Private)" 224000 96300 31 4 24200
826 "South Dakota State University(Out-of-State)" 224000 108000 53 5 32000
828 "Pennsylvania College of Technology(Out-of-State)" 223000 150000 46 5 43400
828 "Saginaw Valley State University(In-State)" 223000 80100 38 5 24000
828 "University of Detroit Mercy(Private)" 223000 210000 68 4 28300
831 "Georgia State University(Out-of-State)" 222000 162000 53 5 23400
831 "Millersville University of Pennsylvania(In-State)" 222000 101000 61 5 35400
831 "Western Kentucky University(In-State)" 222000 78200 45 4 24000
831 "Westfield State University(In-State)" 222000 88500 66 4 25600
835 "College for Creative Studies(Private)" 221000 212000 58 4 37400
835 "Indiana State University(In-State)" 221000 84500 37 5 25900
835 "Radford University(In-State)" 221000 86600 58 4 30300
835 "University of Alabama at Birmingham(In-State)" 221000 97400 53 5 27300
839 "Davidson College(Private)" 220000 246000 95 4 24100
839 "Lipscomb University(Private)" 220000 173000 58 4 27100
839 "Pittsburg State University(In-State)" 220000 72900 49 5 24300
839 "Southern University and A & M College(Out-of-State)" 220000 104000 29 5 24900
839 "Union College (Nebraska)(Private)" 220000 132000 43 5 20700
839 "University of Michigan-Flint(In-State)" 220000 94000 37 5 25700
845 "Biola University(Private)" 219000 197000 72 4 30400
845 "Humboldt State University(In-State)" 219000 92700 46 5 22200
845 "Lewis University(Private)" 219000 166000 62 4 31000
845 "Marian University (Wisconsin)(Private)" 219000 150000 45 4 29800
845 "University of North Georgia(In-State)" 219000 73600 28 4 20700
845 "University of Northern Iowa(In-State)" 219000 80900 65 5 23300
851 "Middle Georgia State University(Out-of-State)" 218000 89300 N/A "" 23900
851 "Pine Manor College(Private)" 218000 171000 29 4 28300
853 "Angelo State University(In-State)" 217000 77300 36 5 22800
853 "Oklahoma Wesleyan University(Private)" 217000 145000 44 4 24600
853 "Queens University of Charlotte(Private)" 217000 187000 53 4 27100
853 "Southern Nazarene University(Private)" 217000 138000 33 4 54900
857 "Bridgewater State University(Out-of-State)" 216000 120000 59 5 28700
857 "St. Thomas Aquinas College(Private)" 216000 174000 62 4 28700
859 "Azusa Pacific University(Private)" 215000 192000 70 4 31500
859 "Morgan State University(Out-of-State)" 215000 132000 32 5 27200
859 "Washburn University(In-State)" 215000 73500 34 5 21900
859 "West Chester University of Pennsylvania(Out-of-State)" 215000 146000 70 4 33800
