"Trip.Seconds" Fare "Payment.Type"
420 6 Cash
2220 43.25 "Credit Card"
720 9.25 "Credit Card"
240 5.25 Cash
466 6.25 "Credit Card"
360 7.5 Cash
780 17.94 Cash
1260 13 Cash
1080 13.5 Cash
441 7.75 "Credit Card"
360 6 Cash
1167 19.25 "Credit Card"
900 11.25 "Credit Card"
780 8.25 "Credit Card"
360 6.5 "Credit Card"
420 6 "Credit Card"
960 11.75 "Credit Card"
900 9.25 "Credit Card"
720 9.75 "Credit Card"
360 6.5 "Credit Card"
9 3.25 Cash
540 7 Cash
360 5.25 Cash
540 9.75 "Credit Card"
960 13.75 "Credit Card"
420 5.75 Cash
480 7.25 "Credit Card"
2460 44.25 Cash
960 10 Cash
300 5.75 Cash
540 7.25 Cash
240 5.25 "Credit Card"
2040 37.25 "Credit Card"
360 6.5 "Credit Card"
3420 45 "Credit Card"
480 7.25 Cash
449 7 Cash
1995 33.25 Cash
4260 38.25 Cash
3520 47.25 "Credit Card"
300 5.75 Cash
3240 39.5 "Credit Card"
360 5.75 "Credit Card"
1380 21 Cash
3237 65.5 "Credit Card"
960 12.25 Cash
3180 48.25 "Credit Card"
2700 59.75 Cash
1620 19.75 Cash
540 7.25 "Credit Card"
480 6.5 Cash
780 9.5 "Credit Card"
300 5.5 Cash
840 9 "Credit Card"
540 7 Cash
2613 36.25 "Credit Card"
720 8 Cash
420 6.75 "Credit Card"
3420 46.75 Cash
3780 47 "Credit Card"
540 8 Cash
360 6 Cash
3840 45.5 "Credit Card"
1560 41.5 "Credit Card"
180 4.75 Cash
420 7.5 Cash
240 5.75 Cash
420 7 "Credit Card"
120 3.75 Cash
420 7 "Credit Card"
197 4.75 Cash
2541 52 Cash
540 7 "Credit Card"
420 6.25 "Credit Card"
420 7.25 Cash
540 7 Cash
480 6.5 "Credit Card"
1080 12 "Credit Card"
480 6.75 "Credit Card"
720 9 "Credit Card"
420 6 "Credit Card"
515 7.75 Cash
1200 13.25 "Credit Card"
329 5.75 Cash
2580 44.25 "Credit Card"
1140 10.75 "Credit Card"
120 4 Cash
780 8.75 Cash
840 9.25 Cash
180 5 "Credit Card"
1500 13.5 Cash
840 9.25 "Credit Card"
660 8.25 Cash
300 5.5 Cash
1440 17.25 "Credit Card"
366 5.5 Cash
300 5.25 "Credit Card"
180 5 "Credit Card"
180 4.25 Cash
360 6 "Credit Card"
660 8.75 "Credit Card"
3420 45.25 "Credit Card"
480 6.75 Cash
780 10 "Credit Card"
360 5.5 Cash
420 5.75 "Credit Card"
1380 14.75 "Credit Card"
1740 18.75 Cash
540 7.25 "Credit Card"
60 3.25 Cash
660 8.75 "Credit Card"
467 7.5 Cash
780 11.5 Cash
3414 46.5 "Credit Card"
1301 16.25 "Credit Card"
3300 29 Cash
300 5.75 "Credit Card"
615 7.75 "Credit Card"
780 9.25 Cash
780 9.5 Cash
2700 21.25 Cash
240 5.25 Cash
493 7.25 "Credit Card"
1380 15.25 Cash
1560 32.75 "Credit Card"
300 5.75 Cash
600 9.25 "Credit Card"
780 11 "Credit Card"
840 11 Cash
540 7 Cash
660 9.5 Cash
540 9 "Credit Card"
1200 24 "Credit Card"
1140 19 "Credit Card"
1055 14.75 "Credit Card"
600 8.25 "Credit Card"
553 8 "Credit Card"
900 10 Cash
420 6 Cash
1020 11.25 Cash
420 6.5 "Credit Card"
360 6.25 Cash
3072 46.25 "Credit Card"
720 8.5 "Credit Card"
300 5.5 "Credit Card"
180 5.25 "Credit Card"
481 7 Cash
900 10.5 "Credit Card"
504 7.25 Cash
1020 10.75 "Credit Card"
3300 47.25 Cash
840 9 "Credit Card"
840 9.75 "Credit Card"
360 6.25 Cash
3600 57.75 Cash
660 8 "Credit Card"
600 7.5 "Credit Card"
360 6.5 "Credit Card"
240 5 "Credit Card"
300 6.75 "Credit Card"
380 6.75 "Credit Card"
1320 13.75 Cash
1200 21.75 Cash
1560 13.75 Cash
852 10.5 Cash
375 5.75 Cash
480 7.25 "Credit Card"
660 7.75 "Credit Card"
660 8 Cash
300 5.25 Cash
840 9.25 "Credit Card"
2724 46.75 "Credit Card"
3060 44.75 "Credit Card"
960 15.75 "Credit Card"
420 6 Cash
720 8.75 Cash
360 5.5 Cash
540 7.75 Cash
60 3.5 Cash
360 6 "Credit Card"
3660 29.25 "Credit Card"
420 7.75 "Credit Card"
840 10 "Credit Card"
1020 12 Cash
1080 10.75 Cash
412 5.75 Cash
720 7.75 Cash
900 10.5 "Credit Card"
660 8.25 "Credit Card"
300 6.5 Cash
1080 12 "Credit Card"
4080 45.75 "Credit Card"
240 5 "Credit Card"
2336 21.75 "Credit Card"
3120 46.25 "Credit Card"
1260 22 Cash
1314 17 Cash
3600 46 Cash
540 7.5 Cash
1530 19.75 "Credit Card"
660 10 Cash
960 12.25 Cash
120 3.75 Cash
1080 11.5 "Credit Card"
1500 19 "Credit Card"
3120 47 "Credit Card"
3300 45 "Credit Card"
240 5.5 Cash
601 8 "Credit Card"
660 7.5 "Credit Card"
551 8.75 "Credit Card"
420 13 "Credit Card"
420 6.5 Cash
668 10.75 Cash
660 7.5 "Credit Card"
360 6.25 "Credit Card"
720 10.25 "Credit Card"
777 9.5 "Credit Card"
3660 45.75 "Credit Card"
900 11.75 Cash
720 9.75 Cash
780 10 Cash
600 8 Cash
1020 13.75 "Credit Card"
1260 13 "Credit Card"
483 7.25 "Credit Card"
780 8.25 "Credit Card"
840 11 Cash
316 5.5 Cash
480 7.25 "Credit Card"
2160 21.5 Cash
720 8 Cash
420 6.5 "Credit Card"
480 6 Cash
180 4.5 "Credit Card"
3261 46.25 "Credit Card"
1020 13 "Credit Card"
960 13.75 Cash
780 9.25 Cash
3840 46.25 "Credit Card"
2640 23.5 Cash
478 7.25 "Credit Card"
1080 12.5 Cash
300 5.25 "Credit Card"
544 9.25 Cash
300 5.25 Cash
420 6.25 Cash
1080 13.25 "Credit Card"
3960 48.75 "Credit Card"
550 7.75 Cash
1511 23.5 "Credit Card"
1590 18 "Credit Card"
420 6.75 Cash
386 5.75 "Credit Card"
300 5.75 Cash
1380 19.75 "Credit Card"
480 6 "Credit Card"
3780 46 "Credit Card"
360 6 Cash
1440 15.5 "Credit Card"
960 10.75 "Credit Card"
900 12.25 Cash
240 4.75 "Credit Card"
600 8.75 "Credit Card"
3714 48.75 Cash
180 5.25 Cash
180 4.75 Cash
540 8 Cash
480 7 "Credit Card"
1200 11.75 "Credit Card"
660 9 "Credit Card"
2940 44.25 Cash
300 5.25 Cash
300 5.75 Cash
840 9 Cash
1080 12.75 "Credit Card"
660 10.75 Cash
1034 12 "Credit Card"
840 9 "Credit Card"
4140 47.75 "Credit Card"
6615 38.5 Cash
360 6.5 "Credit Card"
780 8 Cash
2355 23.25 "Credit Card"
1980 36.75 "Credit Card"
300 6.25 Cash
600 8 "Credit Card"
600 7.75 Cash
540 7.25 Cash
2160 18.5 "Credit Card"
420 6 Cash
420 6 Cash
360 6.25 "Credit Card"
300 5.5 "Credit Card"
1260 11 Cash
315 5.25 Cash
493 6.5 Cash
300 5.5 Cash
1640 32.75 Cash
600 12 "Credit Card"
3300 38.5 "Credit Card"
1980 36.25 "Credit Card"
1380 19.25 "Credit Card"
660 8.5 "Credit Card"
240 5.5 "Credit Card"
720 8 "Credit Card"
4260 47.75 "Credit Card"
1380 14 Cash
960 10.25 Cash
360 6.25 Cash
300 5 "Credit Card"
600 7.75 "Credit Card"
3720 45.75 "Credit Card"
960 11.25 Cash
960 19.75 Cash
3360 45 "Credit Card"
3480 47 "Credit Card"
780 9.75 "Credit Card"
3780 45.5 "Credit Card"
480 6.5 "Credit Card"
360 6 "Credit Card"
840 9.5 "Credit Card"
420 6.5 Cash
660 8 Cash
720 10.25 "Credit Card"
780 9 "Credit Card"
420 7.5 Cash
360 5.5 "Credit Card"
480 7 Cash
1140 17.5 Cash
1376 17.25 Cash
1500 15.5 Cash
240 5.5 Cash
900 9.5 "Credit Card"
720 8 "Credit Card"
540 8.25 "Credit Card"
840 9.75 "Credit Card"
480 8.25 Cash
1260 24.75 "Credit Card"
360 6.5 "Credit Card"
240 5.5 Cash
1380 16.5 Cash
420 6.75 Cash
287 5 Cash
648 8.5 Cash
660 8.25 "Credit Card"
1140 11.25 Cash
720 8.75 "Credit Card"
720 8.5 Cash
1020 11.75 Cash
300 5.5 Cash
600 9.5 Cash
3430 47.75 "Credit Card"
888 14.25 Cash
600 8 "Credit Card"
3120 44.5 "Credit Card"
720 8.5 "Credit Card"
480 6.75 "Credit Card"
840 8.25 Cash
600 7.5 Cash
1020 16 Cash
600 7.25 "Credit Card"
720 9 Cash
2354 24 Cash
3480 45 "Credit Card"
360 6.25 Cash
720 9.25 "Credit Card"
862 11.25 Cash
360 5.5 Cash
437 7.25 Cash
600 7.75 Cash
720 8 "Credit Card"
3600 39.25 "Credit Card"
660 8.5 Cash
1020 13.25 "Credit Card"
268 6 Cash
360 5.5 "Credit Card"
780 9 "Credit Card"
360 6 "Credit Card"
3420 47.75 "Credit Card"
360 6.25 Cash
1875 57.5 "Credit Card"
1320 13.25 "Credit Card"
1903 36 "Credit Card"
240 4.75 Cash
780 13 "Credit Card"
1800 18.25 "Credit Card"
1080 15.75 "Credit Card"
540 7.5 "Credit Card"
840 10 Cash
480 6.75 Cash
300 5.5 Cash
4080 40.5 "Credit Card"
840 10 "Credit Card"
780 12 "Credit Card"
4200 52 "Credit Card"
480 7.75 "Credit Card"
394 6.25 Cash
960 14 "Credit Card"
540 7 "Credit Card"
706 8 Cash
480 7 Cash
822 9.75 Cash
600 8.25 "Credit Card"
360 5.75 Cash
2760 41 "Credit Card"
1140 12.25 "Credit Card"
420 6 "Credit Card"
1020 9.5 "Credit Card"
600 7.5 "Credit Card"
120 4.5 "Credit Card"
480 7 "Credit Card"
240 4.25 "Credit Card"
900 9.5 Cash
420 5.75 Cash
300 5.75 Cash
317 7 "Credit Card"
691 8.25 Cash
1800 35 "Credit Card"
360 5.25 "Credit Card"
300 5.25 Cash
2640 29 "Credit Card"
5760 60.5 "Credit Card"
960 13.25 "Credit Card"
1777 22 Cash
540 6.75 Cash
240 5 Cash
540 7.25 "Credit Card"
378 6.25 "Credit Card"
600 8.5 Cash
540 9 Cash
413 6.75 "Credit Card"
960 9.5 "Credit Card"
660 9.5 Cash
600 8 Cash
780 9 "Credit Card"
634 7.25 Cash
420 6 Cash
300 5.75 "Credit Card"
600 7.5 "Credit Card"
840 11 "Credit Card"
420 5.75 "Credit Card"
660 8.75 "Credit Card"
420 6.25 "Credit Card"
1740 44.75 "Credit Card"
780 8.5 Cash
3183 44.5 "Credit Card"
360 5.25 "Credit Card"
660 8.25 "Credit Card"
600 8.75 "Credit Card"
2760 45.5 "Credit Card"
720 8.25 "Credit Card"
180 4.5 Cash
540 11.25 "Credit Card"
540 7.25 "Credit Card"
1980 31 "Credit Card"
300 5.25 Cash
417 6.25 Cash
840 9.25 Cash
360 6.25 Cash
900 10 Cash
479 7 "Credit Card"
360 5.75 Cash
540 7 "Credit Card"
720 8.25 Cash
1260 11.5 "Credit Card"
3557 46.75 "Credit Card"
300 6.5 Cash
1380 19.25 Cash
480 6.75 "Credit Card"
1080 17.75 Cash
3720 46.25 "Credit Card"
780 9.5 Cash
151 4.25 "Credit Card"
360 6 Cash
540 7.5 Cash
300 5.5 "Credit Card"
3300 35.5 "Credit Card"
360 5.25 Cash
480 7 Cash
2940 42.5 Cash
450 7.5 "Credit Card"
388 5.75 Cash
540 7 Cash
720 8.75 Cash
960 12.75 Cash
3240 43.75 "Credit Card"
420 6.5 Cash
60 3.25 "Credit Card"
600 8.25 Cash
240 5.25 "Credit Card"
540 6.75 "Credit Card"
720 9.25 "Credit Card"
480 7.25 Cash
840 9.5 "Credit Card"
4368 38.75 "Credit Card"
2880 30 Cash
540 7 "Credit Card"
540 9.5 Cash
660 10 Cash
420 6.25 Cash
1020 12.75 Cash
360 5.5 Cash
240 5 "Credit Card"
545 7 Cash
240 5 Cash
536 7.25 "Credit Card"
1500 14 Cash
1500 17 "Credit Card"
1020 10.25 "Credit Card"
682 9.75 "Credit Card"
637 8 "Credit Card"
420 6.25 Cash
3900 45.25 "Credit Card"
1140 11 Cash
1035 20 "Credit Card"
540 7.25 "Credit Card"
470 7 Cash
120 3.5 Cash
540 7.75 Cash
420 7.75 Cash
300 5.25 Cash
360 7.5 "Credit Card"
840 10 "Credit Card"
3291 45.75 "Credit Card"
578 8 "Credit Card"
2340 21.75 Cash
660 11 Cash
840 10.5 Cash
660 7.5 Cash
388 5.75 "Credit Card"
780 9.5 Cash
480 6.5 "Credit Card"
2100 24.75 "Credit Card"
540 7.75 Cash
1200 11 "Credit Card"
1800 23 Cash
2160 19.25 Cash
420 6 Cash
480 7.25 Cash
660 9.75 "Credit Card"
540 7.25 Cash
427 6.5 Cash
3360 48.5 "Credit Card"
420 7.25 Cash
540 6.75 Cash
420 5.75 Cash
420 6.25 Cash
3540 48.75 "Credit Card"
420 6.25 Cash
1260 22.75 "Credit Card"
840 9.75 "Credit Card"
300 5.5 Cash
960 13 "Credit Card"
720 9.5 Cash
480 6.5 Cash
780 8.25 Cash
540 7.25 Cash
840 8.5 "Credit Card"
420 6.25 Cash
540 9 "Credit Card"
2520 21.75 Cash
338 6.25 Cash
900 10.75 Cash
180 4.25 Cash
840 9.75 Cash
600 8 Cash
480 7.25 Cash
720 8.75 "Credit Card"
480 7.25 Cash
480 6.25 "Credit Card"
459 7 Cash
2160 33.5 "Credit Card"
1086 13.75 Cash
2220 37.5 "Credit Card"
840 9.25 "Credit Card"
960 9.5 "Credit Card"
300 5.75 "Credit Card"
3120 48.5 Cash
780 9 Cash
300 5.5 Cash
1680 22.75 Cash
3354 46 "Credit Card"
568 7.5 Cash
900 9.25 "Credit Card"
1380 21 "Credit Card"
420 6.5 "Credit Card"
257 5.25 "Credit Card"
436 6.25 "Credit Card"
1200 10.75 Cash
660 7.75 "Credit Card"
840 10.75 Cash
243 4.75 Cash
540 7 "Credit Card"
360 6.25 Cash
600 8.25 "Credit Card"
1560 47.75 "Credit Card"
929 12 "Credit Card"
3300 46.5 "Credit Card"
306 6.25 "Credit Card"
815 9.5 "Credit Card"
780 9.25 "Credit Card"
660 8.5 "Credit Card"
3000 45.25 Cash
3174 46.25 "Credit Card"
679 9.25 Cash
1 4 Cash
360 6 Cash
480 10.25 "Credit Card"
60 3.25 Cash
2100 23.25 Cash
900 10.5 Cash
1080 13.5 "Credit Card"
600 8.25 Cash
1080 12.25 "Credit Card"
420 6.75 Cash
1500 19.25 "Credit Card"
781 12 "Credit Card"
241 5 Cash
900 10.25 "Credit Card"
1860 24.25 "Credit Card"
1200 12.5 Cash
240 5.75 "Credit Card"
842 10.75 "Credit Card"
480 7 "Credit Card"
718 11.5 "Credit Card"
240 5 "Credit Card"
960 11.5 Cash
865 11.75 Cash
3240 46 "Credit Card"
720 11.25 "Credit Card"
300 7 Cash
453 7.5 "Credit Card"
1020 10.5 Cash
480 7.25 Cash
480 7.75 Cash
737 9.25 "Credit Card"
720 10.5 "Credit Card"
840 13 Cash
540 7.75 Cash
474 9 Cash
1080 12.5 "Credit Card"
600 8.75 Cash
480 6.5 "Credit Card"
198 4.75 Cash
840 9 "Credit Card"
1380 15.5 "Credit Card"
660 8.25 Cash
600 8 "Credit Card"
420 6.25 "Credit Card"
600 7.5 Cash
780 13 "Credit Card"
660 8.5 Cash
660 7.5 Cash
660 9 "Credit Card"
1780 18.75 Cash
600 8.25 Cash
540 7.5 "Credit Card"
540 8.5 Cash
6 3.25 Cash
960 11 Cash
624 8 Cash
720 9.5 Cash
900 10 "Credit Card"
721 8.75 Cash
771 10 Cash
549 7.5 "Credit Card"
540 7.25 "Credit Card"
300 5.75 Cash
180 4.5 Cash
382 5.75 "Credit Card"
360 6 "Credit Card"
900 11 "Credit Card"
600 7.5 Cash
1200 25 "Credit Card"
351 6.5 Cash
660 10.75 "Credit Card"
780 8.5 Cash
240 5.25 Cash
1140 13.75 "Credit Card"
300 5.75 "Credit Card"
3780 45.75 "Credit Card"
960 12.75 "Credit Card"
240 4.75 Cash
1380 14.75 Cash
540 6.75 "Credit Card"
300 5.25 "Credit Card"
840 10.25 Cash
840 14.5 "Credit Card"
278 6.25 "Credit Card"
240 5 Cash
2400 22.75 Cash
555 8 Cash
833 10.75 "Credit Card"
780 9.25 "Credit Card"
480 6.5 Cash
240 4.75 "Credit Card"
3000 39 "Credit Card"
1260 13.75 Cash
2400 25.75 "Credit Card"
660 8 "Credit Card"
426 7.25 Cash
180 4.75 "Credit Card"
360 6.25 Cash
480 6.5 Cash
1020 11 "Credit Card"
300 5.75 Cash
1020 10.25 Cash
1560 19 Cash
337 5.75 "Credit Card"
538 9.5 "Credit Card"
240 5 Cash
755 8.25 Cash
720 8.25 "Credit Card"
240 4.5 "Credit Card"
4140 47.25 Cash
491 6.75 "Credit Card"
367 5.75 Cash
240 5 "Credit Card"
180 4.5 Cash
2280 33.25 Cash
900 11.25 "Credit Card"
840 9 "Credit Card"
840 9.25 "Credit Card"
1140 14.75 Cash
420 6 "Credit Card"
747 8.75 "Credit Card"
3600 45.5 "Credit Card"
376 6.25 Cash
1440 13.25 "Credit Card"
960 10.25 "Credit Card"
1080 15.75 "Credit Card"
1740 29.25 "Credit Card"
2400 35 "Credit Card"
600 8.25 "Credit Card"
1080 9.75 Cash
66 3.5 Cash
660 8.25 "Credit Card"
3960 49 "Credit Card"
3250 45.75 "Credit Card"
1860 21 Cash
240 5 Cash
720 8.25 "Credit Card"
1320 16.75 "Credit Card"
710 9.25 "Credit Card"
3540 46.25 "Credit Card"
480 7.75 "Credit Card"
720 10.75 Cash
540 7.25 "Credit Card"
840 18.5 "Credit Card"
900 13.75 "Credit Card"
840 9.5 Cash
250 5.5 "Credit Card"
831 12.75 Cash
3120 46.75 "Credit Card"
1020 11.25 "Credit Card"
3240 45.5 "Credit Card"
1396 13.5 Cash
540 7.5 "Credit Card"
840 11.75 Cash
289 5.5 Cash
720 8.5 Cash
5220 52 Cash
780 9.25 Cash
600 7.25 "Credit Card"
360 5.5 Cash
3360 59.5 Cash
660 9.75 "Credit Card"
420 6.25 "Credit Card"
480 6.5 "Credit Card"
652 8 "Credit Card"
440 7.75 "Credit Card"
480 7 "Credit Card"
600 7.75 "Credit Card"
655 8 Cash
762 9.25 "Credit Card"
420 9.25 Cash
420 6.5 "Credit Card"
720 10 Cash
600 9 "Credit Card"
720 9.25 Cash
420 7.25 "Credit Card"
299 5.25 "Credit Card"
900 10.75 "Credit Card"
540 7 Cash
310 6.25 "Credit Card"
660 7.5 "Credit Card"
960 11.5 Cash
480 6.25 "Credit Card"
420 7 "Credit Card"
540 6.5 "Credit Card"
420 6.25 "Credit Card"
480 6.25 "Credit Card"
900 10 "Credit Card"
720 11.25 "Credit Card"
840 9.25 Cash
340 6.25 "Credit Card"
600 7.5 "Credit Card"
60 3.25 Cash
1200 18 "Credit Card"
4380 71.75 "Credit Card"
300 5.25 "Credit Card"
1140 13.75 Cash
597 11.25 Cash
576 7.25 Cash
540 7.5 "Credit Card"
420 6 Cash
480 6.75 "Credit Card"
840 12.25 "Credit Card"
540 7.25 Cash
780 13.75 Cash
300 5 "Credit Card"
300 5 Cash
180 4.5 "Credit Card"
360 6 Cash
904 10.75 "Credit Card"
420 6.25 "Credit Card"
420 8 "Credit Card"
720 9 "Credit Card"
840 9.5 "Credit Card"
873 11.75 Cash
445 7.5 "Credit Card"
2160 33.25 Cash
480 7.25 Cash
3840 46.5 Cash
720 9 "Credit Card"
900 12 "Credit Card"
900 14.5 "Credit Card"
660 8 "Credit Card"
300 6 Cash
480 7.75 "Credit Card"
1140 14 "Credit Card"
900 9.75 Cash
240 5.5 "Credit Card"
574 7.5 "Credit Card"
420 7.25 Cash
540 7.5 Cash
240 5.25 Cash
540 6.75 Cash
3558 47 Cash
814 8.25 "Credit Card"
420 6.25 "Credit Card"
300 5 "Credit Card"
240 4.75 "Credit Card"
854 10.25 Cash
360 6.5 Cash
391 6.75 "Credit Card"
510 7 Cash
120 4.5 Cash
1168 19.75 "Credit Card"
726 8 Cash
2820 36 Cash
586 7 "Credit Card"
718 9 Cash
1380 16.5 "Credit Card"
305 5.5 "Credit Card"
420 6 "Credit Card"
1440 15 "Credit Card"
1020 10.5 Cash
300 4.75 "Credit Card"
540 7.75 "Credit Card"
532 7.5 Cash
1260 13.5 "Credit Card"
416 6.25 Cash
1680 27 "Credit Card"
1620 16.25 "Credit Card"
876 11 Cash
1140 12 Cash
660 8.75 "Credit Card"
300 5.5 "Credit Card"
3360 45 "Credit Card"
540 7 "Credit Card"
360 6.25 Cash
3960 48.75 "Credit Card"
720 9 "Credit Card"
1020 10.75 "Credit Card"
1200 14.25 Cash
2940 39.25 Cash
900 14.5 Cash
2100 37 Cash
300 7.25 Cash
540 7.5 "Credit Card"
480 6.5 Cash
240 5 Cash
900 12.25 Cash
300 7.25 "Credit Card"
13174 10.75 Cash
1020 10.5 Cash
2640 52.25 "Credit Card"
360 5.25 Cash
180 4.25 Cash
720 9.25 Cash
2462 25.75 Cash
960 22 "Credit Card"
480 6.75 "Credit Card"
825 11.5 "Credit Card"
540 8 Cash
900 10.5 Cash
1020 10.25 Cash
543 7.5 "Credit Card"
360 6 Cash
1140 11.75 Cash
4260 48.5 "Credit Card"
527 8 "Credit Card"
1560 19.75 "Credit Card"
720 9 Cash
1440 19.5 Cash
2100 21.5 "Credit Card"
240 4.25 Cash
8 3.25 Cash
360 5.75 Cash
3521 44.75 "Credit Card"
660 7.5 "Credit Card"
960 9.5 "Credit Card"
720 9.75 "Credit Card"
1620 16.5 Cash
3640 34.75 Cash
1500 18.25 "Credit Card"
540 7 "Credit Card"
661 8.25 "Credit Card"
480 6.75 "Credit Card"
1440 17.5 "Credit Card"
900 10 Cash
540 6.5 "Credit Card"
1980 25.25 "Credit Card"
360 7.25 Cash
660 7.75 "Credit Card"
240 5 Cash
360 5.5 "Credit Card"
2820 46.25 "Credit Card"
1536 13.5 Cash
421 6.25 "Credit Card"
360 6 Cash
180 4.75 "Credit Card"
2820 24.5 Cash
660 8.25 Cash
406 6 "Credit Card"
540 7.25 Cash
240 5.5 "Credit Card"
660 8.75 Cash
360 5.5 Cash
720 7.75 "Credit Card"
3660 47.25 "Credit Card"
900 10 Cash
1020 17 "Credit Card"
840 10.25 "Credit Card"
559 7.75 Cash
2040 22.75 Cash
3660 3.25 "Credit Card"
600 8.75 Cash
120 4.75 Cash
1080 10 Cash
840 11.5 Cash
600 7.5 Cash
180 4.5 "Credit Card"
360 5.5 Cash
480 6 Cash
600 7.5 Cash
300 5.5 Cash
420 6 "Credit Card"
660 8.5 "Credit Card"
300 5.75 "Credit Card"
181 4.5 "Credit Card"
300 5.25 Cash
960 16.75 Cash
1320 16.5 Cash
720 12.25 "Credit Card"
360 7 Cash
660 8.25 "Credit Card"
420 6.75 Cash
720 11 Cash
511 7 Cash
2040 28.5 "Credit Card"
1020 13.75 Cash
300 5.25 "Credit Card"
2760 23.5 "Credit Card"
1200 11.75 "Credit Card"
960 10.5 "Credit Card"
446 7 Cash
874 11.25 Cash
3392 46.75 Cash
1140 18.5 Cash
660 8 Cash
816 9.25 "Credit Card"
1450 14 Cash
265 5.25 Cash
413 6.75 "Credit Card"
1020 18.25 "Credit Card"
240 5.25 Cash
478 8.5 "Credit Card"
480 6.75 "Credit Card"
780 10.75 "Credit Card"
600 8.75 "Credit Card"
300 5.25 Cash
1200 14.75 "Credit Card"
960 15.5 Cash
540 7.5 Cash
1140 11 Cash
240 5.25 Cash
900 10.5 "Credit Card"
1440 22.5 Cash
900 10.75 Cash
180 4.5 Cash
1161 8.75 Cash
600 8 "Credit Card"
1080 10.5 Cash
660 8.75 "Credit Card"
300 5.75 Cash
540 10.75 Cash
420 6.75 Cash
1020 13.5 "Credit Card"
900 9.75 Cash
480 6.5 "Credit Card"
540 8.25 Cash
600 9 "Credit Card"
1440 15.5 Cash
780 8 Cash
3840 47 Cash
300 5.5 "Credit Card"
1320 12.25 "Credit Card"
1140 12.25 Cash
240 5.5 Cash
720 10 "Credit Card"
593 9.5 Cash
480 7 "Credit Card"
300 5.5 "Credit Card"
773 9.5 "Credit Card"
540 7 Cash
1680 19.25 Cash
720 9.5 Cash
360 6.25 Cash
180 4.5 "Credit Card"
660 8.75 "Credit Card"
3900 47.75 Cash
1080 12.25 Cash
273 5.5 Cash
360 6.25 Cash
645 7.5 "Credit Card"
180 4.75 Cash
360 6 Cash
660 8 Cash
60 4.25 Cash
293 5.5 "Credit Card"
180 4.5 "Credit Card"
600 7.75 "Credit Card"
1020 16.25 "Credit Card"
960 12.5 Cash
1560 19.25 "Credit Card"
1020 12.75 "Credit Card"
840 13.75 Cash
1800 17.75 "Credit Card"
960 10 Cash
600 7.75 "Credit Card"
480 9.25 Cash
1320 14 Cash
480 7.25 Cash
647 7.75 Cash
480 7 "Credit Card"
318 5.25 Cash
1485 5.5 Cash
300 5.5 Cash
600 11.75 "Credit Card"
3480 41 "Credit Card"
480 6.5 Cash
1200 17 Cash
598 7.5 Cash
720 8.25 Cash
1440 22.5 "Credit Card"
240 5 Cash
483 6.75 Cash
600 3.25 Cash
240 5.25 "Credit Card"
599 7.75 Cash
420 8 "Credit Card"
300 8 Cash
540 6.75 Cash
600 9.5 Cash
720 9.25 "Credit Card"
308 5 Cash
780 10.5 Cash
526 14.5 Cash
960 11.75 Cash
900 10 Cash
840 9 "Credit Card"
780 10.25 "Credit Card"
420 6.25 "Credit Card"
600 7.75 "Credit Card"
3600 39.75 "Credit Card"
1020 11.25 Cash
1200 11.5 Cash
600 7.75 "Credit Card"
540 7 "Credit Card"
720 9.75 Cash
840 9.75 "Credit Card"
225 4.75 "Credit Card"
2520 25.25 Cash
1038 10.25 "Credit Card"
180 4.75 "Credit Card"
3540 46.25 "Credit Card"
1006 10.25 "Credit Card"
1320 13.25 Cash
288 6.75 Cash
780 10 "Credit Card"
960 13.5 "Credit Card"
305 5.75 Cash
480 6.25 Cash
300 5.25 "Credit Card"
480 6.5 Cash
420 6.25 "Credit Card"
300 5.75 "Credit Card"
540 7 Cash
161 4.25 "Credit Card"
660 8.25 "Credit Card"
445 6.25 Cash
840 9 Cash
600 8 Cash
786 11.5 "Credit Card"
540 8.25 "Credit Card"
3480 30.75 "Credit Card"
660 8.25 Cash
226 5 Cash
120 5 Cash
739 9 Cash
780 13 "Credit Card"
660 8.25 Cash
2460 22 "Credit Card"
3540 44.75 "Credit Card"
180 5 "Credit Card"
1320 14.75 "Credit Card"
300 6.5 "Credit Card"
660 7.5 Cash
420 6.75 "Credit Card"
300 5 "Credit Card"
577 8.75 "Credit Card"
600 7.25 Cash
1440 17.75 "Credit Card"
360 5.75 Cash
763 8.75 Cash
249 5 Cash
4020 45.75 "Credit Card"
1140 22 "Credit Card"
2580 26.75 "Credit Card"
420 6.25 "Credit Card"
420 6.25 Cash
300 6 Cash
1222 13 "Credit Card"
960 13 Cash
1080 14 Cash
540 6.75 "Credit Card"
780 9.25 "Credit Card"
1080 14.75 "Credit Card"
1500 20 Cash
300 5.25 "Credit Card"
180 4.5 "Credit Card"
540 8.5 "Credit Card"
540 9.5 "Credit Card"
720 8.75 "Credit Card"
1740 26.25 "Credit Card"
1080 12.25 Cash
4320 47.25 "Credit Card"
1140 14.5 Cash
480 6.5 Cash
660 9.75 "Credit Card"
2940 44.25 "Credit Card"
1140 11.5 Cash
739 8.75 Cash
600 6.5 Cash
337 6.25 "Credit Card"
420 6.5 "Credit Card"
180 4.5 Cash
360 6.5 "Credit Card"
429 6.5 "Credit Card"
240 5.25 "Credit Card"
1980 34.5 Cash
3600 45.5 Cash
480 7 "Credit Card"
180 4.75 Cash
720 9 "Credit Card"
487 6.5 Cash
