"Job Titles" Department "Annual Salary"
"ADMINISTRATIVE SUPVSR" "STREETS & SAN" 68556
"ENGINEERING TECHNICIAN IV" TRANSPORTN 92592
FIREFIGHTER-EMT FIRE 92274
"POLICE OFFICER" POLICE 90024
"CIVIL ENGINEER III" "WATER MGMNT" 100776
"POLICE OFFICER" POLICE 48078
"FIREFIGHTER-EMT (RECRUIT)" FIRE 72510
"POLICE OFFICER" POLICE 48078
SERGEANT POLICE 107988
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 96060
"DETENTION AIDE" POLICE 61464
PARAMEDIC FIRE 90024
"CHIEF ASST CORPORATION COUNSEL" LAW 127068
"TRAINING OFFICER" POLICE 88344
PARAMEDIC FIRE 87006
FIREFIGHTER-EMT FIRE 92274
"PROJECTS ADMINISTRATOR" BUILDINGS 95760
"POLICE OFFICER" POLICE 90024
"PLUMBING INSPECTOR" BUILDINGS 102510
FIREFIGHTER-EMT FIRE 95484
"POLICE OFFICER" POLICE 90024
FIREFIGHTER-EMT FIRE 89148
"PARAMEDIC FIELD CHIEF" FIRE 140970
"LIBRARIAN IV" "PUBLIC LIBRARY" 100776
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 87006
SERGEANT POLICE 104628
"POLICE OFFICER" POLICE 48078
FIREFIGHTER-EMT FIRE 84870
"DEPUTY CHIEF" POLICE 170112
"STAFF ASST" "CITY CLERK" 84420
"ASST COMMISSIONER" "BUSINESS AFFAIRS" 92952
"ADMINISTRATIVE ASST III" "STREETS & SAN" 80568
"SUPVSR OF CHILDREN SERVICES PROGRAMS" "FAMILY & SUPPORT" 62820
"POLICE OFFICER" POLICE 93354
"PROJECT COORD" FINANCE 85008
"FIELD SUPVSR I - PARKING ENFORCEMENT" FINANCE 67464
"LEGISLATIVE AIDE" "CITY COUNCIL" 60084
SERGEANT POLICE 111474
"BUSINESS COMPLIANCE INVESTIGATOR" "BUSINESS AFFAIRS" 84420
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 87006
"MANAGER OF VEHICLE MAINTENANCE" "GENERAL SERVICES" 112284
"POLICE OFFICER" POLICE 93354
SERGEANT POLICE 111474
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 87006
FIREFIGHTER-EMT FIRE 89148
"DETENTION AIDE" POLICE 48072
"BATTALION CHIEF" FIRE 140970
"POLICE OFFICER" POLICE 87006
"CIVIL ENGINEER II" "WATER MGMNT" 65448
FIREFIGHTER-EMT FIRE 89148
"POLICE OFFICER" POLICE 90024
"BUILDING/CONSTRUCTION INSPECTOR" BUILDINGS 111456
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 90024
"STAFF ASST" TREASURER 84420
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 90024
"CLERK IV - TIMEKEEPER" "WATER MGMNT" 76932
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 90024
"FISCAL ADMINISTRATOR" OEMC 78492
"ASST DIR OF NEWS AFFAIRS" POLICE 91800
FIREFIGHTER-EMT FIRE 89148
FIREFIGHTER-EMT FIRE 95484
FIREFIGHTER-EMT FIRE 95484
LIEUTENANT POLICE 127692
FIREFIGHTER FIRE 90024
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 68616
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
"POLICE OFFICER" POLICE 87006
PARAMEDIC FIRE 87006
SERGEANT POLICE 107988
"FIRE COMMUNICATIONS OPERATOR I" OEMC 68328
"LIBRARIAN I" "PUBLIC LIBRARY" 68796
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 90024
"HOUSE DRAIN INSPECTOR" "WATER MGMNT" 102510
"SENIOR DATA ENTRY OPERATOR" TRANSPORTN 55536
"POLICE OFFICER" POLICE 90024
"SUPERVISING TRAFFIC CONTROL AIDE" OEMC 48072
FIREFIGHTER-EMT FIRE 95484
LIEUTENANT-EMT FIRE 117996
"LIBRARY CLERK" "PUBLIC LIBRARY" 31536
"CLERK III" HEALTH 58248
SERGEANT POLICE 107988
FIREFIGHTER-EMT FIRE 92274
"POLICE COMMUNICATIONS OPERATOR II" OEMC 73992
CAPTAIN-EMT FIRE 132732
"POLICE OFFICER" POLICE 93354
SERGEANT POLICE 107988
"POLICE OFFICER" POLICE 93354
"PARAMEDIC I/C" FIRE 103932
SERGEANT POLICE 111474
PARAMEDIC FIRE 84054
FIREFIGHTER-EMT FIRE 89148
"POLICE OFFICER" POLICE 90024
"REFUSE COLLECTION COORD" "STREETS & SAN" 92556
"POLICE COMMUNICATIONS OPERATOR I" OEMC 85056
"COMMUNICATIONS OPERATIONS MANAGER" OEMC 104124
"POLICE OFFICER" POLICE 90024
"BRIDGE OPERATOR" TRANSPORTN 70056
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER / FLD TRNG OFFICER" POLICE 88296
SERGEANT POLICE 111474
FIREFIGHTER-EMT FIRE 92274
"POLICE OFFICER" POLICE 90024
FIREFIGHTER FIRE 97386
"ADMINISTRATIVE SERVICES OFFICER II" DoIT 97056
"POLICE OFFICER/EXPLSV DETECT K9 HNDLR" POLICE 94524
"DETENTION AIDE" POLICE 56004
INVESTIGATOR FIRE 62820
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
"POLICE OFFICER" POLICE 87006
"BATTALION CHIEF - EMT" FIRE 149502
"POLICE OFFICER" POLICE 90024
PARAMEDIC FIRE 76266
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
SERGEANT POLICE 104628
"ADMINISTRATIVE SUPVSR" LAW 47532
"POLICE OFFICER" POLICE 96060
LIEUTENANT-EMT FIRE 117996
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 84054
"CLINICAL THERAPIST III" POLICE 66588
CAPTAIN POLICE 136170
"TRAINING OFFICER" "GENERAL SERVICES" 88344
PARAMEDIC FIRE 76266
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
"DEPUTY DISTRICT CHIEF" FIRE 156360
"CLERK IV" FINANCE 40392
FIREFIGHTER-EMT FIRE 92274
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 93354
"ELECTRICAL INSPECTOR" BUILDINGS 100164
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 84054
"CUSTOMER SERVICES SUPVSR" FINANCE 77484
"LIBRARIAN I" "PUBLIC LIBRARY" 76548
"POLICE OFFICER / FLD TRNG OFFICER" POLICE 91338
SERGEANT POLICE 111474
PARAMEDIC FIRE 76266
"ACCOUNTANT III" "PUBLIC LIBRARY" 92388
"RESIDENT SERVICES COORD I" "FAMILY & SUPPORT" 69492
"CLERK IV" "GENERAL SERVICES" 70092
"POLICE OFFICER" POLICE 80016
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 68616
"PARALEGAL II" LAW 84420
"COMMUNICATIONS OPERATOR I - 311" OEMC 40392
"POLICE ADMINISTRATIVE CLERK" POLICE 40392
"COORDINATING PLANNER" "COMMUNITY DEVELOPMENT" 100656
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 48078
"REFUSE COLLECTION COORD" "STREETS & SAN" 84384
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
ATTORNEY PROCUREMENT 116844
"POLICE OFFICER" POLICE 90024
LIEUTENANT-EMT FIRE 114324
SERGEANT POLICE 101442
"AVIATION SECURITY OFFICER" AVIATION 52776
"REFUSE COLLECTION COORD" "STREETS & SAN" 101544
"POLICE OFFICER" POLICE 90024
SERGEANT POLICE 104628
"FOREMAN OF STATION LABORERS" "WATER MGMNT" 53658.36
FIREFIGHTER-EMT FIRE 92274
"PROJECT COORD" HEALTH 89076
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 96060
SERGEANT POLICE 111474
"POLICE OFFICER" POLICE 76266
LIEUTENANT-EMT FIRE 117996
"LEGISLATIVE AIDE" "CITY COUNCIL" 66996
"SENIOR INFORMATION ANALYST" COPA 59976
"POLICE OFFICER" POLICE 90024
"LIBRARIAN I" "PUBLIC LIBRARY" 52320
"POLICE OFFICER/EXPLSV DETECT K9 HNDLR" POLICE 94524
FIREFIGHTER-EMT FIRE 84870
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)" POLICE 88296
"COORDINATING PLANNER" "COMMUNITY DEVELOPMENT" 80076
FIREFIGHTER/PARAMEDIC FIRE 97746
"LIBRARIAN IV" "PUBLIC LIBRARY" 100776
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
SERGEANT POLICE 104628
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 96060
FIREFIGHTER-EMT FIRE 95484
LIEUTENANT-EMT FIRE 117996
"POLICE OFFICER" POLICE 84054
"AMBULANCE COMMANDER" FIRE 121452
"POLICE OFFICER" POLICE 96060
FIREFIGHTER-EMT FIRE 89148
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 68616
FIREFIGHTER-EMT FIRE 89148
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)" POLICE 94524
COMMANDER POLICE 162684
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
"SENIOR BUDGET ANALYST" "BUDGET & MGMT" 84324
LIEUTENANT-PARAMEDIC FIRE 120804
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 84054
"PARKING REVENUE SECURITY SUPVSR" FINANCE 93300
"POLICE OFFICER" POLICE 87006
"PROJECT DIR" TRANSPORTN 111192
"POLICE OFFICER" POLICE 76266
"CHIEF REVENUE ANALYST" "CULTURAL AFFAIRS" 85836
"SENIOR ADMINISTRATIVE LAW OFFICER" "ADMIN HEARNG" 96636
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 48078
"POLICE COMMUNICATIONS OPERATOR I" OEMC 73992
"RESIDENT SERVICES COORD I" "FAMILY & SUPPORT" 69492
"POLICE OFFICER" POLICE 90024
FIREFIGHTER FIRE 90024
"POLICE OFFICER" POLICE 93354
"ENVIRONMENTAL ENGINEER III" HEALTH 110064
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 84054
FIREFIGHTER-EMT FIRE 89148
"FIRE ENGINEER-EMT" FIRE 110214
"POLICE OFFICER" POLICE 84054
FIREFIGHTER-EMT FIRE 95484
"FILTRATION ENGINEER V" "WATER MGMNT" 120312
SERGEANT POLICE 107988
"SENIOR FISCAL POLICY ANALYST" FINANCE 86700
"POLICE OFFICER" POLICE 96060
"LIBRARY DIVISION CHIEF" "PUBLIC LIBRARY" 95292
"EXEC ADMINISTRATIVE ASST I" FIRE 68556
"STAFF ASST TO THE ALDERMAN" "CITY COUNCIL" 40008
"POLICE OFFICER" POLICE 90024
"DETENTION AIDE" POLICE 77520
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 48078
"STAFF ASST TO THE ALDERMAN" "CITY COUNCIL" 64536
"POLICE OFFICER" POLICE 84054
"PAYMENT RECONCILER" FINANCE 70092
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 80016
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER / FLD TRNG OFFICER" POLICE 80016
"POLICE OFFICER" POLICE 87006
FIREFIGHTER-EMT FIRE 89148
"DETENTION AIDE" POLICE 48072
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 90024
"COMMUNITY ORGANIZER-CAPS" POLICE 84420
"POLICE COMMUNICATIONS OPERATOR II" OEMC 81156
FIREFIGHTER-EMT FIRE 92274
"POLICE OFFICER" POLICE 93354
FIREFIGHTER FIRE 87006
"POLICE OFFICER" POLICE 84054
SERGEANT POLICE 101442
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 87006
"AMBULANCE COMMANDER" FIRE 121452
"PARAMEDIC I/C" FIRE 91080
"SANITARIAN II" HEALTH 73440
"BRIDGE OPERATOR" TRANSPORTN 52536
FIREFIGHTER-EMT FIRE 92274
"FIRE ENGINEER" FIRE 103932
"POLICE OFFICER" POLICE 87006
"ADMINISTRATIVE ASST III" "WATER MGMNT" 84420
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
LIEUTENANT-EMT FIRE 114324
"FIREFIGHTER-EMT (RECRUIT)" FIRE 72510
"ACCOUNTANT III" "COMMUNITY DEVELOPMENT" 92388
"POLICE OFFICER" POLICE 84054
"SUPERVISING POLICE COMMUNICATIONS OPERATOR" OEMC 99024
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 93354
"PROCESS SERVER" LAW 43644
"POLICE OFFICER" POLICE 96060
CAPTAIN POLICE 136170
"POLICE OFFICER" POLICE 72510
"BUSINESS CONSULTANT SUPERVISOR" "BUSINESS AFFAIRS" 97740
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 96060
"DIR OF ADMINISTRATION II" OEMC 68220
"ARCHITECT IV" BUILDINGS 110064
"POLICE OFFICER" POLICE 72510
"ACCOUNTANT II" FINANCE 72264
SERGEANT POLICE 107988
"ADMINISTRATIVE SERVICES OFFICER I" BUILDINGS 80568
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 68616
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER (ASSIGNED AS SECURITY SPECIALIST)" POLICE 107790
"POLICE OFFICER / FLD TRNG OFFICER" POLICE 98052
LIEUTENANT POLICE 120252
CAPTAIN-EMT FIRE 136794
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 80016
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
"CLERK - BD OF ELECTIONS" "BOARD OF ELECTION" 29328
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 90024
"ADMINISTRATIVE SERVICES OFFICER I" "GENERAL SERVICES" 84420
SERGEANT POLICE 104628
"STAFF ASST" TRANSPORTN 88344
FIREFIGHTER FIRE 90024
"PARKING ENFORCEMENT AIDE" FINANCE 56004
"FIREFIGHTER-EMT (RECRUIT)" FIRE 72510
"POLICE OFFICER" POLICE 96060
"SUPERVISING CLERK" "PUBLIC LIBRARY" 57840
"POLICE OFFICER" POLICE 87006
"STAFF ASST" FINANCE 92592
"AIRPORT OPERATIONS SUPVSR I" AVIATION 66216
"POLICE OFFICER" POLICE 72510
PARAMEDIC FIRE 97386
"SENIOR DATA BASE ANALYST" DoIT 110064
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 84054
FIREFIGHTER-EMT FIRE 95484
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER / FLD TRNG OFFICER" POLICE 94524
"CLERK IV" AVIATION 70092
FIREFIGHTER-EMT FIRE 99324
SERGEANT POLICE 104628
"PARAMEDIC I/C" FIRE 82614
"SUPPORT SERVICES COORD" "FAMILY & SUPPORT" 73440
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 72510
"CLERK III" HEALTH 58248
"POLICE OFFICER" POLICE 84054
"COORD OF SPECIAL PROJECTS" "PUBLIC LIBRARY" 97740
"POLICE ADMINISTRATIVE CLERK" POLICE 40392
"SUPERVISING INVESTIGATOR-COPA" COPA 91188
"POLICE OFFICER/EXPLSV DETECT K9 HNDLR" POLICE 94524
"PARALEGAL II" LAW 53340
"POLICE OFFICER" POLICE 87006
"BUSINESS COMPLIANCE INVESTIGATOR" "BUSINESS AFFAIRS" 80568
"SENIOR CLERK-ELECTIONS" "BOARD OF ELECTION" 48036
"POLICE OFFICER" POLICE 68616
"GEN SUPT OF WATER MANAGEMENT" "WATER MGMNT" 116844
"STAFF ASST" TRANSPORTN 88344
"POLICE OFFICER (ASGND AS MOUNTED PATROL OFFICER)" POLICE 91338
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 90024
"POLICE COMMUNICATIONS OPERATOR I" OEMC 67464
"FIRE ENGINEER-EMT" FIRE 110214
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 48078
CAPTAIN POLICE 129282
"POLICE OFFICER" POLICE 90024
LIEUTENANT POLICE 120252
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 87006
"RESIDENT SERVICES COORD I" "FAMILY & SUPPORT" 69492
"POLICE OFFICER" POLICE 48078
"ADMINISTRATIVE ASST III - EXCLUDED" "BUDGET & MGMT" 60564
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 68616
"POLICE OFFICER" POLICE 48078
FIREFIGHTER-EMT FIRE 84870
"POLICE OFFICER" POLICE 68616
"FIRE ENGINEER-PARAMEDIC" FIRE 112854
"STAFF ASST TO THE ALDERMAN" "CITY COUNCIL" 55656
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)" POLICE 91338
"FIREFIGHTER-EMT (RECRUIT)" FIRE 72510
FIREFIGHTER FIRE 93666
"WARD SUPERINTENDENT" "STREETS & SAN" 76716
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 84054
"COMMUNICABLE DISEASE CONTROL INVESTIGATOR II" HEALTH 73440
"POLICE OFFICER" POLICE 93354
"BUILDING/CONSTRUCTION INSPECTOR" BUILDINGS 96984
"POLICE OFFICER (ASGND AS MOUNTED PATROL OFFICER)" POLICE 91338
SERGEANT POLICE 104628
LIEUTENANT-EMT FIRE 114324
SERGEANT POLICE 104628
SERGEANT POLICE 111474
"PROJECT COORD" "PUBLIC LIBRARY" 93300
"POLICE OFFICER" POLICE 80016
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 90024
FIREFIGHTER-EMT FIRE 103272
FIREFIGHTER-EMT FIRE 99324
FIREFIGHTER-EMT FIRE 92274
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 90024
"POLICE ADMINISTRATIVE CLERK" POLICE 38376
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER/EXPLSV DETECT K9 HNDLR" POLICE 100980
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
FIREFIGHTER FIRE 87006
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 90024
"DETENTION AIDE" POLICE 56004
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 90024
"WARD SUPERINTENDENT" "STREETS & SAN" 73212
FIREFIGHTER-EMT FIRE 95484
"DEPUTY COMMISSIONER" "COMMUNITY DEVELOPMENT" 114552
"POLICE OFFICER" POLICE 87006
SERGEANT POLICE 111474
"DETENTION AIDE" POLICE 73992
"POLICE OFFICER" POLICE 87006
FIREFIGHTER-EMT FIRE 95484
"POLLING PLACE INVESTIGATOR II" "BOARD OF ELECTION" 51732
CAPTAIN-EMT FIRE 136794
"ACCOUNTING TECHNICIAN II" "GENERAL SERVICES" 76932
LIEUTENANT-EMT FIRE 117996
"AVIATION SECURITY SERGEANT" AVIATION 70380
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 96060
"LIBRARIAN III" "PUBLIC LIBRARY" 92388
"PERSONAL COMPUTER OPERATOR I" POLICE 58248
"MANAGER OF VEHICLE ADJUSTMENTS" "GENERAL SERVICES" 93876
LIEUTENANT POLICE 127692
LIEUTENANT POLICE 120252
"POLICE OFFICER" POLICE 80016
"TRAFFIC SIGNAL REPAIRMAN" TRANSPORTN 101712
"PARAMEDIC I/C" FIRE 94122
LIEUTENANT POLICE 127692
"POLICE OFFICER / FLD TRNG OFFICER" POLICE 94524
"POLICE OFFICER" POLICE 96060
"FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC" FIRE 102228
"PROJECT COORD" PROCUREMENT 93300
"FIREFIGHTER-EMT (RECRUIT)" FIRE 72510
"SENIOR VIDEOGRAPHER" "BUSINESS AFFAIRS" 57840
"POLICE OFFICER" POLICE 93354
"SUPPORT SERVICES COORD" "FAMILY & SUPPORT" 80568
CAPTAIN-PARAMEDIC FIRE 140040
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 87006
SERGEANT POLICE 104628
"FIRE ENGINEER-EMT" FIRE 110214
LIEUTENANT FIRE 114846
ALDERMAN "CITY COUNCIL" 117832.92
"ASST CORPORATION COUNSEL II" LAW 67212
"POLICE OFFICER" POLICE 87006
"PROCESS SERVER" LAW 43644
"POLICE OFFICER" POLICE 90024
"FIRE ENGINEER-EMT" FIRE 107106
"POLICE OFFICER" POLICE 90024
"STREET LIGHT REPAIR WORKER" TRANSPORTN 101712
FIREFIGHTER-EMT FIRE 99324
"VENTILATION AND FURNACE INSPECTOR" BUILDINGS 96657.6
"PARAMEDIC I/C" FIRE 100980
"ASST COMMISSIONER" HEALTH 102672
FIREFIGHTER-EMT FIRE 84870
"POLICE OFFICER" POLICE 96060
LIEUTENANT-EMT FIRE 117996
SERGEANT POLICE 111474
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 96060
"PARAMEDIC I/C" FIRE 94122
"STAFF ASST" FINANCE 73440
"AIRPORT OPERATIONS SUPVSR II" AVIATION 84384
"DEPUTY DIR" "CULTURAL AFFAIRS" 89328
"SUPVSR OF CHILDREN SERVICES PROGRAMS" "FAMILY & SUPPORT" 62820
"DEPUTY CITY TREASURER" TREASURER 137700
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
"POLICE OFFICER" POLICE 87006
"DEPUTY PROCUREMENT OFFICER" PROCUREMENT 119520
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
"POLICE OFFICER" POLICE 90024
FIREFIGHTER/PARAMEDIC FIRE 94476
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 48078
"BRIDGE OPERATOR" TRANSPORTN 66900
FIREFIGHTER-EMT FIRE 95484
"POLICE OFFICER" POLICE 90024
"SUPERVISING INVESTIGATOR-COPA" COPA 91188
"BATTALION CHIEF - EMT" FIRE 149502
"AMBULANCE COMMANDER" FIRE 125130
"POLICE OFFICER" POLICE 96060
"ACCOUNTING TECHNICIAN II" "FAMILY & SUPPORT" 66948
"LABORATORY TECHNICIAN III" POLICE 76932
FIREFIGHTER/PARAMEDIC FIRE 91272
"LEGISLATIVE AIDE" "CITY COUNCIL" 42840
SERGEANT POLICE 107988
"POLICE OFFICER" POLICE 90024
"BOILER INSPECTOR" BUILDINGS 103001.64
"COMMUNICATIONS OPERATOR I - 311" OEMC 38376
"POLICE OFFICER / FLD TRNG OFFICER" POLICE 88296
SERGEANT POLICE 104628
"LIBRARIAN IV" "PUBLIC LIBRARY" 100776
"POLICE OFFICER" POLICE 68616
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 87006
"ASST TO THE MAYOR" "MAYOR'S OFFICE" 160002
"POLICE OFFICER" POLICE 87006
FIREFIGHTER-EMT FIRE 89148
"POLICE OFFICER" POLICE 90024
SERGEANT POLICE 104628
"POLICE OFFICER" POLICE 93354
FIREFIGHTER-EMT FIRE 84870
"POLICE ADMINISTRATIVE CLERK" POLICE 40392
LIEUTENANT-PARAMEDIC FIRE 120804
"COMMUNICATIONS OPERATOR I - 311" OEMC 38376
"DETENTION AIDE" POLICE 61464
"POLICE OFFICER" POLICE 96060
"ADMINISTRATIVE ASST III" "COMMUNITY DEVELOPMENT" 76932
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 87006
"ASST DEPUTY CHIEF PARAMEDIC" FIRE 156360
"FIRE ENGINEER" FIRE 103932
"SUPVSR OF DATA ENTRY OPERATORS" POLICE 76932
"FORENSIC AUDIT INVESTIGATOR" "INSPECTOR GEN" 68100
FIREFIGHTER FIRE 97386
"FREEDOM OF INFORMATION ACT OFFICER" POLICE 50676
"PROGRAM DIRECTOR SPECIAL EVENTS" "CULTURAL AFFAIRS" 111192
"FIREFIGHTER-EMT (RECRUIT)" FIRE 72510
"POLICE OFFICER" POLICE 87006
"AVIATION SECURITY OFFICER" AVIATION 67464
"BRIDGE OPERATOR" TRANSPORTN 70056
"POLICE OFFICER" POLICE 72510
FIREFIGHTER-EMT FIRE 89148
"DATA ENTRY OPERATOR" "WATER MGMNT" 50628
FIREFIGHTER FIRE 90024
"GENERAL FOREMAN OF GENERAL TRADES" "GENERAL SERVICES" 114087.96
"POLICE OFFICER" POLICE 84054
LIEUTENANT POLICE 127692
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 97440
"POLICE OFFICER" POLICE 72510
"PERSONAL CARE ATTENDANT II" DISABILITIES 38100
"ADMINISTRATIVE ASST II" "ADMIN HEARNG" 70092
FIREFIGHTER-EMT FIRE 84870
"POLICE OFFICER" POLICE 90024
